transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B
1810009J06Rik-201	0	0	0	0	0	0	0	0
1810010H24Rik-201	0	0	0	0	1	0	1	0
1810013L24Rik-201	30	6	14	13	11	2	14	17
1810020O05Rik-202	0	0	0	0	0	0	0	0
1810024B03Rik-201	0	0	0	0	0	0	0	0
1810030O07Rik-201	202	129	177	195	103	72	142	159
1810037I17Rik-201	87	55	59	75	60	21	85	82
1810046K07Rik-203	0	0	0	0	0	0	0	0
1810049J17Rik-201	0	0	0	0	0	0	0	0
1810055G02Rik-206	4	0	1	2	3	0	1	1
1810058I24Rik-203	53	26	38	40	15	5	29	14
1810062G17Rik-201	0	0	0	0	0	0	0	0
1810065E05Rik-201	0	0	0	0	0	0	0	0
2010003K11Rik-201	0	0	0	0	0	0	0	0
2010106E10Rik-202	0	0	0	0	0	0	0	0
2010109A12Rik-201	0	0	0	0	0	0	0	0
2010300C02Rik-203	0	1	0	0	1	0	1	0
2010315B03Rik-202	14	7	12	7	7	0	8	9
2200002D01Rik-201	0	0	0	0	0	0	0	1
2200002J24Rik-201	0	0	0	0	0	1	2	1
2210010C04Rik-201	0	0	0	0	0	0	0	0
2210011C24Rik-204	0	0	0	0	0	0	0	0
2210016F16Rik-201	95	30	55	80	49	3	62	44
2210016L21Rik-201	87	42	66	75	44	22	61	58
2210017I01Rik-201	0	0	0	0	0	0	0	0
2210407C18Rik-202	0	0	0	0	0	0	0	0
2210408I21Rik-201	2	1	2	3	5	0	2	2
2210418O10Rik-201	0	0	0	0	0	0	0	0
2300002M23Rik-201	0	0	0	0	0	0	0	0
2300003K06Rik-201	0	0	0	0	0	0	0	0
2300009A05Rik-201	1	0	0	0	0	0	0	0
2310002L09Rik-201	0	0	0	0	0	0	0	0
2310009A05Rik-201	91	36	38	75	18	8	38	35
2310009B15Rik-201	3	3	1	5	0	0	1	0
2310011J03Rik-201	4	3	3	3	9	1	8	5
2310022A10Rik-201	14	8	20	19	23	2	8	13
2310022B05Rik-201	14	4	10	9	14	8	11	9
2310030G06Rik-201	0	0	0	0	0	0	0	0
2310033P09Rik-201	68	27	32	42	15	12	30	23
2310034C09Rik-201	0	0	0	0	0	0	0	0
2310034G01Rik-201	0	0	0	0	0	0	0	0
2310039H08Rik-201	1	0	1	2	1	0	0	1
2310046K23Rik-201	0	0	0	0	0	0	0	0
2310050C09Rik-201	0	0	0	0	0	0	0	0
2310057J18Rik-201	0	0	0	0	0	0	0	0
2310057M21Rik-201	34	16	26	18	19	4	18	12
2310057N15Rik-201	0	0	0	0	0	0	0	0
2310061I04Rik-204	15	5	7	9	11	1	12	4
2310061N02Rik-201	0	0	0	0	0	0	0	0
2310079G19Rik-201	0	0	0	0	0	0	0	0
2410002F23Rik-202	27	12	28	28	48	15	28	23
2410004B18Rik-201	43	17	31	45	31	12	48	47
2410004P03Rik-201	0	0	0	0	0	0	0	1
2410131K14Rik-201	3	0	2	1	1	1	4	2
2410137M14Rik-201	0	0	0	0	0	0	0	0
2410141K09Rik-202	0	0	0	0	0	0	0	0
2510002D24Rik-201	0	1	0	0	0	0	0	0
2510009E07Rik-201	2	1	2	2	2	1	1	0
2510039O18Rik-201	81	34	72	67	86	15	66	59
2610001J05Rik-201	17	6	7	6	14	1	11	13
2610002M06Rik-201	53	24	30	42	26	13	26	34
2610008E11Rik-201	8	6	11	9	16	5	16	18
2610021A01Rik-201	19	5	13	7	14	4	13	7
2610028H24Rik-201	0	0	0	0	0	0	0	0
2610042L04Rik-202	0	0	0	0	0	0	0	0
2610044O15Rik8-202	1	0	1	1	0	0	0	0
2610301B20Rik-201	20	8	9	5	9	4	13	8
2610318N02Rik-201	2	4	6	1	8	2	5	5
2610507B11Rik-201	367	126	284	253	402	79	229	207
2610528A11Rik-201	0	0	1	0	0	0	0	0
2610528J11Rik-201	0	0	0	0	0	0	0	0
2700049A03Rik-203	80	45	40	59	67	26	38	33
2700062C07Rik-201	10	3	1	2	3	1	5	1
2700081O15Rik-202	3	0	0	2	0	0	0	0
2700097O09Rik-201	30	5	8	8	9	6	8	10
2810004N23Rik-201	108	47	70	80	79	21	71	65
2810006K23Rik-201	78	36	57	62	39	10	61	48
2810021J22Rik-201	3	5	2	6	2	2	7	4
2810408A11Rik-203	3	0	4	2	1	0	1	0
2810459M11Rik-202	0	0	0	0	0	0	0	0
2900026A02Rik-201	4	1	2	1	7	2	5	3
2900092C05Rik-201	0	0	0	0	0	0	0	0
3110001I22Rik-201	0	0	0	0	0	0	0	0
3110009E18Rik-203	16	9	15	16	11	5	16	17
3110021N24Rik-201	0	0	0	0	0	0	0	0
3110040M04Rik-201	0	0	0	0	0	0	0	0
3110040N11Rik-201	37	17	22	25	63	15	67	60
3110082I17Rik-201	71	49	62	55	28	12	23	42
3110082J24Rik-202	0	0	0	0	0	0	0	0
3300002I08Rik-201	0	0	0	0	0	0	0	0
3425401B19Rik-201	0	0	0	0	0	0	1	0
3830403N18Rik-201	0	0	0	0	0	0	0	0
3830406C13Rik-202	17	17	19	19	9	10	12	15
3830417A13Rik-201	0	0	0	0	0	0	0	0
4430402I18Rik-205	0	0	0	0	0	0	0	0
4632433K11Rik-201	0	0	0	0	0	0	0	0
4833420G17Rik-203	46	12	21	33	37	14	49	34
4833423E24Rik-201	0	0	0	0	0	0	0	0
4833427G06Rik-201	0	0	0	0	0	0	0	0
4833439L19Rik-201	11	3	4	4	21	3	11	8
4921504E06Rik-201	0	0	0	0	0	0	0	0
4921507P07Rik-201	1	1	1	6	7	0	9	11
4921509C19Rik-201	0	0	0	0	0	0	0	0
4921511C20Rik-201	0	0	0	0	0	0	0	0
4921511M17Rik-201	0	0	0	0	0	0	0	0
4921517D22Rik-201	0	0	0	0	0	0	0	0
4921524J17Rik-201	71	33	46	55	23	7	31	16
4921524L21Rik-201	0	0	0	0	0	0	0	0
4921536K21Rik-201	0	0	0	0	0	0	0	0
4921539E11Rik-201	0	0	0	0	0	0	0	0
4922502D21Rik-201	1	0	0	0	1	0	0	1
4930402F06Rik-202	0	0	0	0	0	0	0	0
4930402H24Rik-201	27	6	16	19	20	6	27	13
4930402K13Rik-201	0	0	0	0	0	0	0	0
4930404H24Rik-201	0	0	0	0	0	0	0	0
4930404N11Rik-201	0	0	0	0	0	0	0	0
4930407I10Rik-201	0	0	0	0	0	0	0	0
4930412O13Rik-201	0	0	0	0	0	0	0	0
4930415L06Rik-201	0	0	0	0	0	0	0	0
4930415O20Rik-201	0	0	0	0	0	0	0	0
4930430A15Rik-201	0	0	0	0	0	0	0	0
4930430F08Rik-201	15	8	11	11	10	3	13	10
4930432K21Rik-202	3	1	4	2	2	0	2	2
4930432M17Rik-202	0	0	0	0	0	0	0	0
4930433I11Rik-201	0	0	0	0	0	0	0	0
4930438A08Rik-201	55	20	46	41	48	5	37	32
4930444G20Rik-201	1	0	0	0	0	0	0	0
4930444P10Rik-202	0	0	0	0	0	0	0	0
4930447A16Rik-201	0	0	0	0	0	0	0	0
4930447C04Rik-201	0	0	0	0	0	0	0	0
4930447F04Rik-201	0	0	0	0	0	0	0	0
4930449I24Rik-201	0	0	0	0	0	0	0	0
4930451I11Rik-201	0	0	0	0	0	0	0	0
4930452B06Rik-201	0	0	0	0	0	0	0	0
4930453N24Rik-201	74	26	30	46	55	5	47	46
4930455H04Rik-201	0	0	0	0	0	0	0	0
4930467E23Rik-201	0	0	0	0	0	0	0	0
4930469K13Rik-202	0	0	0	0	0	0	0	0
4930470P17Rik-201	0	0	0	0	0	0	0	0
4930474N05Rik-203	0	0	0	0	0	0	0	0
4930480E11Rik-201	0	0	0	0	0	0	0	0
4930486L24Rik-201	0	0	0	0	0	0	0	0
4930502E18Rik-201	0	1	0	0	0	0	0	0
4930503B20Rik-201	0	0	0	0	0	0	0	0
4930503E14Rik-201	0	0	0	0	0	0	0	0
4930503L19Rik-201	8	6	5	8	4	1	3	5
4930505A04Rik-201	0	0	0	0	0	0	0	0
4930512M02Rik-201	0	0	0	0	0	0	0	0
4930513O06Rik-201	0	0	0	0	0	0	0	0
4930516K23Rik-201	0	0	0	0	0	0	0	0
4930519G04Rik-201	0	0	0	0	0	0	0	0
4930522H14Rik-202	0	0	0	0	0	0	0	0
4930522L14Rik-202	3	0	2	1	0	0	0	1
4930523C07Rik-203	3	1	1	0	1	0	1	2
4930524B15Rik-201	0	0	0	0	0	0	0	0
4930524N10Rik-201	0	0	0	0	0	0	0	0
4930539E08Rik-201	0	0	0	0	0	0	0	0
4930544D05Rik-203	0	0	0	0	0	0	0	0
4930544G11Rik-201	0	0	0	0	0	0	0	0
4930548H24Rik-201	0	0	0	0	0	0	0	0
4930550C14Rik-201	1	0	0	0	0	0	0	0
4930550L24Rik-202	3	0	4	2	0	0	0	0
4930555G01Rik-201	0	0	0	0	0	0	0	0
4930556J24Rik-201	0	0	0	0	0	0	0	0
4930558C23Rik-201	0	0	0	0	0	0	0	0
4930558K02Rik-202	0	0	0	0	0	0	0	0
4930562C15Rik-201	0	0	0	0	0	0	0	0
4930563E22Rik-201	0	0	0	0	0	0	0	0
4930563M21Rik-201	0	0	0	0	0	0	0	0
4930564D02Rik-201	0	0	0	0	0	0	0	0
4930568D16Rik-201	0	0	0	0	0	0	0	0
4930572O03Rik-201	0	0	0	0	0	0	0	0
4930578G10Rik-202	0	0	0	0	0	0	0	0
4930578I06Rik-201	0	0	0	0	0	0	0	0
4930579F01Rik-203	0	0	0	0	0	0	0	0
4930579G24Rik-201	12	1	11	10	15	7	16	16
4930583I09Rik-201	0	0	0	0	0	0	0	0
4930590J08Rik-203	0	0	0	0	0	0	0	0
4930595D18Rik-201	0	0	0	0	0	0	0	0
4930595M18Rik-201	0	0	0	0	0	0	0	0
4930596D02Rik-201	0	0	0	0	0	0	0	0
4931400O07Rik-201	0	0	0	0	0	0	0	0
4931406B18Rik-201	0	0	0	0	0	0	0	0
4931406C07Rik-203	45	13	26	34	27	14	44	44
4931406P16Rik-202	30	11	11	19	15	6	17	18
4931408C20Rik-201	0	0	0	0	0	0	0	0
4931414P19Rik-201	7	6	10	5	8	5	17	10
4931417E11Rik-201	0	0	0	0	0	0	0	0
4931422A03Rik-201	0	0	0	0	0	0	0	0
4931423N10Rik-201	0	0	0	0	1	0	0	0
4931428F04Rik-202	2	1	2	1	4	1	2	4
4931428L18Rik-207	0	0	0	0	0	0	0	0
4931429L15Rik-201	0	0	0	0	0	0	0	0
4931440F15Rik-201	0	0	0	0	0	0	0	0
4932411N23Rik-201	0	0	0	0	0	0	0	0
4932414N04Rik-204	0	0	0	0	0	0	0	0
4932415D10Rik-202	0	0	0	0	0	0	0	0
4932429P05Rik-201	0	0	0	0	0	0	0	0
4932438A13Rik-201	622	219	401	371	215	63	182	168
4932438H23Rik-201	0	0	0	0	0	0	0	0
4933400A11Rik-201	0	0	0	0	0	0	0	0
4933402D24Rik-201	0	0	0	0	0	0	0	0
4933402E13Rik-201	0	0	0	0	0	0	0	0
4933402J07Rik-201	0	0	0	0	0	0	0	0
4933402N03Rik-201	0	0	0	0	0	0	0	0
4933402N22Rik-202	0	0	0	0	0	0	0	0
4933403O08Rik-202	0	0	0	0	0	0	0	0
4933405L10Rik-201	0	0	0	0	0	0	0	0
4933405O20Rik-201	0	0	0	0	0	0	0	0
4933406M09Rik-201	0	0	0	0	0	0	0	0
4933407L21Rik-201	0	0	0	0	0	0	0	0
4933408B17Rik-201	4	0	0	2	0	1	0	0
4933409G03Rik-201	0	0	0	0	0	0	0	0
4933411K16Rik-201	0	0	0	0	0	0	0	0
4933412E24Rik-201	0	0	0	0	0	0	0	0
4933414I15Rik-201	0	0	0	0	0	0	0	0
4933415F23Rik-201	0	0	0	0	0	0	0	0
4933417A18Rik-201	0	0	0	0	0	0	0	0
4933421I07Rik-201	0	0	0	0	0	0	0	0
4933424G06Rik-204	0	0	0	0	0	0	0	0
4933425L06Rik-201	0	0	0	0	0	0	0	0
4933427D14Rik-208	0	0	0	0	0	0	0	0
4933428G20Rik-201	0	0	0	0	0	0	0	0
4933428M09Rik-201	0	0	0	0	0	0	0	0
4933430I17Rik-201	1	0	0	0	0	0	0	1
4933434E20Rik-205	0	0	0	0	0	0	0	0
4933436I01Rik-201	0	0	0	0	0	0	0	0
5031410I06Rik-201	0	0	0	0	0	0	0	0
5031439G07Rik-201	35	10	22	27	44	19	29	28
5330417C22Rik-202	0	0	0	0	0	0	0	0
5430401F13Rik-202	0	0	0	0	0	0	0	0
5430402E10Rik-201	0	0	0	0	0	0	0	0
5430403G16Rik-201	2	0	2	0	0	1	2	0
5430419D17Rik-203	0	0	0	0	0	0	0	0
5430427O19Rik-201	33	19	15	21	36	23	36	29
5530400C23Rik-201	0	0	0	0	0	0	0	0
5530401A14Rik-201	0	0	0	0	0	0	0	0
5730409E04Rik-201	9	0	7	11	7	0	9	10
5730455P16Rik-201	39	20	20	31	26	7	11	20
5730480H06Rik-205	11	1	6	7	13	4	13	12
5730507C01Rik-201	0	0	0	0	0	0	0	0
5730522E02Rik-201	0	0	0	0	0	0	0	0
5830411N06Rik-203	0	0	0	0	0	0	0	0
6030458C11Rik-201	46	10	37	35	54	16	52	38
6030468B19Rik-201	0	0	0	0	0	0	0	0
6030498E09Rik-201	0	0	0	0	0	0	0	0
6330403K07Rik-202	0	0	0	1	0	0	0	0
6330409D20Rik-201	0	0	0	0	0	0	0	0
6430531B16Rik-201	0	0	1	0	0	0	0	1
6430548M08Rik-201	18	0	8	16	25	13	36	24
6430550D23Rik-201	0	0	0	0	0	0	0	0
6430571L13Rik-201	0	0	0	0	0	0	0	0
6430628N08Rik-201	0	0	0	0	0	0	0	0
6720489N17Rik-202	2	0	1	0	1	1	1	0
6820408C15Rik-201	1	0	0	0	0	0	0	0
7420426K07Rik-201	0	0	0	0	0	0	0	0
7530416G11Rik-201	0	0	0	0	0	0	0	0
8030462N17Rik-201	80	28	41	34	69	19	73	56
8030474K03Rik-202	0	0	0	0	0	0	0	0
9030025P20Rik-201	1	0	0	0	0	0	0	0
9030624G23Rik-201	0	0	0	0	0	0	0	0
9130008F23Rik-201	0	0	0	1	0	0	0	0
9130019O22Rik-201	6	1	3	8	2	3	7	10
9130023H24Rik-201	7	0	1	3	0	1	0	1
9130204L05Rik-201	0	0	0	0	0	0	0	0
9130230L23Rik-203	0	0	0	0	0	0	0	0
9130401M01Rik-201	63	26	42	43	47	18	60	45
9130409I23Rik-201	0	0	0	0	0	0	0	0
9230102O04Rik-201	0	0	0	0	0	0	0	0
9230112D13Rik-201	0	0	0	0	0	0	0	0
9330159F19Rik-201	0	0	0	0	0	0	0	0
9330182L06Rik-201	0	1	1	0	0	0	0	0
9330182O14Rik-202	0	0	0	0	0	0	0	0
9430007A20Rik-201	0	0	0	0	0	0	0	0
9430015G10Rik-208	7	1	1	1	3	0	5	7
9430038I01Rik-201	22	13	17	19	12	3	12	22
9430069I07Rik-202	1	2	1	1	1	0	4	2
9530002B09Rik-201	0	0	0	0	0	0	0	0
9530003J23Rik-201	0	0	0	0	0	0	0	0
9530053A07Rik-201	0	1	0	0	0	0	0	0
9530068E07Rik-201	194	93	101	163	94	38	122	143
9530077C05Rik-201	12	3	5	7	2	2	9	4
9630041A04Rik-201	0	0	0	0	0	0	0	0
9830107B12Rik-201	10	0	2	8	3	3	3	6
9930012K11Rik-201	13	14	8	10	7	2	17	15
9930021J03Rik-204	34	3	22	12	34	8	18	16
9930022D16Rik-201	0	0	0	0	0	0	0	1
9930104L06Rik-201	10	4	10	8	4	3	14	7
9930111J21Rik1-202	1	0	1	0	0	0	0	2
9930111J21Rik2-202	0	1	0	0	1	0	1	1
A030003K21Rik-201	0	0	0	0	0	0	0	0
A030005K14Rik-201	0	0	0	0	0	0	0	0
A030005L19Rik-201	0	0	0	0	0	0	0	0
A030014E15Rik-201	0	0	0	0	0	0	0	0
A130010J15Rik-203	0	0	0	1	1	0	0	3
A1bg-201	0	0	0	0	0	0	0	0
A1cf-201	0	0	0	0	0	0	0	0
A230072I06Rik-201	0	0	0	0	0	0	0	0
A2m-201	0	0	0	0	1	0	0	0
A2ml1-201	0	0	0	0	0	0	0	0
A330070K13Rik-201	0	0	0	0	0	0	0	0
A3galt2-201	0	0	0	0	0	0	1	0
A430005L14Rik-201	14	13	19	9	5	4	7	3
A430033K04Rik-202	14	4	8	6	12	5	4	12
A430089I19Rik-201	0	0	0	0	0	0	0	0
A4galt-201	0	0	0	0	0	0	0	0
A4gnt-201	0	0	0	0	0	0	0	0
A530016L24Rik-201	0	0	0	0	0	0	0	0
A530032D15Rik-201	1	0	2	0	0	0	1	1
A530064D06Rik-202	1	1	2	7	1	2	1	2
A530084C06Rik-201	0	0	0	0	0	0	0	0
A630001G21Rik-202	44	16	31	32	21	5	24	23
A630010A05Rik-202	0	0	0	0	0	0	0	0
A630023A22Rik-201	0	0	0	1	0	0	0	0
A630073D07Rik-201	0	0	0	0	0	0	0	0
A630076J17Rik-201	0	0	0	0	0	0	0	0
A630089N07Rik-205	4	1	4	3	3	2	4	5
A630095N17Rik-201	0	0	0	0	0	0	0	0
A730009L09Rik-201	0	0	0	0	0	0	0	0
A730046J19Rik-201	0	0	0	0	0	0	0	0
A730049H05Rik-201	0	0	0	0	0	0	0	0
A730071L15Rik-201	0	0	0	0	1	0	0	0
A830005F24Rik-201	0	0	0	0	0	0	0	0
A830018L16Rik-201	0	0	0	0	0	0	0	0
A830031A19Rik-201	0	0	0	0	0	0	0	0
A930002H24Rik-201	0	0	0	0	0	0	0	0
A930003A15Rik-201	0	0	0	0	0	0	0	0
A930004D18Rik-201	0	0	0	0	0	0	0	0
A930009A15Rik-201	0	0	0	0	0	0	0	0
A930017K11Rik-201	0	0	0	0	0	0	0	0
A930018P22Rik-201	0	0	0	0	0	0	0	0
A930033H14Rik-201	0	0	0	0	0	0	0	0
AA467197-201	1	1	1	0	2	4	7	2
AA792892-202	0	0	0	0	0	0	0	0
AA986860-201	0	0	1	0	0	0	0	0
AB124611-203	120	45	66	101	43	10	99	104
AC112683.2-201	0	0	0	0	0	0	0	0
AC124742.1-201	0	0	0	0	0	0	0	0
AC124764.1-201	0	0	0	0	0	0	0	0
AC132407.1-201	0	0	0	0	0	0	0	0
AC140267.1-201	0	0	0	0	0	0	0	0
AC141477.1-201	0	0	0	0	0	0	0	0
AC149091.1-201	0	0	0	0	0	0	0	0
AC150683.1-201	0	0	0	0	0	0	0	0
AC151602.1-203	0	0	0	0	0	0	0	0
AC163616.1-201	0	0	0	0	0	0	0	0
AC166256.1-201	0	0	0	0	0	0	0	0
AF067061-201	0	0	0	0	0	0	0	0
AF067063-202	0	0	0	0	0	0	0	0
AF366264-201	1	0	0	0	0	0	0	0
AI182371-201	0	0	0	0	0	0	0	0
AI413582-203	12	9	7	7	8	0	13	16
AI429214-201	1	2	0	2	0	0	0	0
AI467606-201	79	36	48	75	28	11	73	84
AI593442-203	0	0	0	0	0	0	0	0
AI597479-201	30	4	22	24	15	4	11	16
AI661453-202	3	3	5	8	2	0	3	5
AI837181-202	14	5	5	17	9	6	8	7
AI854703-202	0	0	0	0	0	0	0	0
AI987944-201	12	1	4	5	7	2	5	4
AK157302-201	0	0	0	0	0	0	0	0
AL607142.1-201	0	0	0	0	0	0	0	0
AL731706.1-201	0	0	0	0	0	0	0	0
AL731706.2-201	0	0	0	0	0	0	0	0
AL732309.1-201	0	0	0	0	0	0	0	0
AL845275.1-201	0	0	0	0	0	0	0	0
AU015836-205	0	0	0	0	0	0	0	0
AU018091-201	0	0	0	0	0	0	0	0
AU021092-201	0	0	0	0	0	0	0	0
AU022252-203	4	2	2	3	5	0	3	3
AU022751-201	0	0	0	0	0	0	0	0
AU040320-202	131	63	85	115	111	33	109	162
AU041133-202	0	0	0	1	3	2	2	6
AV320801-201	0	0	0	0	0	0	0	0
AW146154-201	3	0	1	2	1	0	1	0
AW209491-201	41	6	25	21	34	11	40	26
