transcript	RIBO_GMP_Ven_A	RIBO_GMP_Ven_B	RIBO_GMP_vehicle_A	RIBO_GMP_vehicle_B	RIBO_HSC_Ven_A	RIBO_HSC_Ven_B	RIBO_HSC_vehicle_A	RIBO_HSC_vehicle_B
0610009B22Rik-202	5	1	1	2	1	2	5	2
0610010F05Rik-201	106	30	74	55	42	10	50	24
0610010K14Rik-204	0	0	0	0	0	0	0	0
0610012G03Rik-201	0	0	0	1	0	0	1	0
0610030E20Rik-201	48	19	30	33	67	29	78	66
0610040J01Rik-201	0	1	2	0	13	1	7	2
1110002E22Rik-201	0	0	0	0	0	0	0	0
1110004F10Rik-201	334	171	270	241	158	77	210	206
1110008P14Rik-201	32	7	21	24	4	2	18	15
1110012L19Rik-201	63	23	33	31	12	5	27	25
1110017D15Rik-201	0	0	0	0	0	0	0	0
1110025L11Rik-201	0	0	0	0	0	0	0	0
1110032A03Rik-201	1	0	1	1	8	0	5	4
1110032F04Rik-201	0	0	0	0	0	0	0	0
1110038F14Rik-201	14	14	10	22	42	8	19	20
1110051M20Rik-203	11	4	4	4	2	0	0	3
1110057P08Rik-201	0	0	0	0	0	0	0	0
1110059E24Rik-201	45	14	29	22	17	14	19	18
1110059G10Rik-201	37	15	35	32	26	9	31	37
1110065P20Rik-201	0	0	0	0	0	0	1	1
1190005I06Rik-203	0	0	0	0	0	0	0	0
1190007I07Rik-201	1	1	1	0	1	0	1	1
1300017J02Rik-201	0	0	0	0	0	0	0	2
1500009C09Rik-202	0	0	0	0	0	0	0	0
1500009L16Rik-201	0	0	0	0	0	0	0	0
1500011B03Rik-202	82	56	67	83	22	21	35	40
1520401A03Rik-205	0	0	0	0	0	0	0	0
1600002K03Rik-201	35	29	32	34	26	13	30	49
1600012H06Rik-202	16	4	7	14	7	0	6	17
1600014C10Rik-202	71	20	33	41	34	13	58	47
1600014C23Rik-201	0	0	0	0	0	0	0	0
1700001C02Rik-201	0	0	0	0	0	0	0	0
1700001C19Rik-201	0	0	0	1	0	0	0	0
1700001F09Rik-201	0	0	0	0	0	0	0	0
1700001J03Rik-201	0	0	0	0	0	0	0	0
1700001K19Rik-201	0	0	0	0	0	0	0	0
1700001L19Rik-201	0	0	0	0	0	0	0	0
1700001O22Rik-201	0	0	0	0	0	0	0	1
1700001P01Rik-201	0	0	0	0	0	0	0	0
1700003E16Rik-201	0	0	0	0	0	0	0	0
1700003F12Rik-201	0	0	0	0	0	0	0	0
1700003H04Rik-203	0	0	0	0	0	0	0	0
1700006A11Rik-201	0	0	0	0	0	0	0	0
1700007K13Rik-201	0	0	0	0	0	0	0	0
1700008O03Rik-201	0	0	0	3	1	0	1	3
1700008P02Rik-201	0	0	0	0	0	0	0	0
1700009N14Rik-201	0	0	0	0	0	0	0	0
1700010B08Rik-201	0	0	0	0	0	0	0	0
1700010I14Rik-203	53	28	48	30	22	7	36	22
1700011L22Rik-201	0	0	0	0	0	0	0	0
1700011M02Rik-201	0	0	0	0	0	0	0	0
1700012A03Rik-201	0	0	0	0	0	0	0	0
1700012B07Rik-202	0	0	0	0	0	0	0	0
1700012B09Rik-201	2	0	0	2	3	2	2	4
1700012P22Rik-201	0	0	0	0	0	0	0	0
1700013F07Rik-201	0	0	0	0	0	0	0	0
1700013G24Rik-201	0	0	0	0	0	0	0	0
1700013H16Rik-201	0	0	0	0	0	0	0	0
1700014D04Rik-203	0	0	0	0	0	0	0	0
1700015F17Rik-201	0	0	0	0	0	0	0	0
1700015G11Rik-201	0	0	0	0	0	0	0	0
1700016C15Rik-201	0	0	0	0	0	0	0	0
1700016D06Rik-201	0	0	0	0	0	0	0	0
1700016H13Rik-202	0	0	0	0	0	0	0	0
1700016K19Rik-201	0	0	0	0	0	0	0	0
1700017B05Rik-201	71	19	39	47	59	27	70	60
1700017D01Rik-201	0	0	0	0	0	0	0	0
1700017N19Rik-207	0	0	0	0	0	0	0	0
1700018B08Rik-201	0	0	0	0	0	0	0	0
1700018F24Rik-201	0	0	0	0	0	0	0	0
1700018G05Rik-201	0	0	0	0	0	0	0	0
1700019A02Rik-201	0	0	0	0	0	0	0	0
1700019D03Rik-201	0	0	0	1	0	0	0	0
1700019N19Rik-201	0	0	0	0	0	0	0	0
1700020A23Rik-201	0	0	0	0	0	0	0	0
1700020D05Rik-201	0	0	0	0	0	0	1	0
1700020L24Rik-201	62	44	45	53	38	2	51	60
1700020N01Rik-201	0	0	0	0	0	0	0	0
1700020N15Rik-201	0	0	0	0	0	0	0	0
1700021F05Rik-202	126	56	72	92	40	16	47	40
1700021F07Rik-201	0	0	0	0	0	0	0	0
1700022I11Rik-201	0	0	0	0	0	0	0	0
1700023F06Rik-201	0	0	0	0	0	0	0	0
1700024B05Rik-201	0	0	0	0	0	0	0	0
1700024G13Rik-201	0	0	0	0	0	0	0	0
1700024P04Rik-201	0	0	0	0	0	0	0	0
1700025B11Rik-201	0	0	0	0	0	0	0	0
1700025C18Rik-201	0	0	0	0	0	0	0	0
1700025F22Rik-201	0	0	0	0	0	0	0	0
1700025G04Rik-201	5	0	2	4	5	3	2	1
1700028J19Rik-201	1	0	0	2	0	1	2	3
1700028K03Rik-206	0	0	0	0	0	0	0	0
1700028P14Rik-201	0	0	0	0	0	0	0	0
1700029F12Rik-201	0	0	0	0	0	0	0	0
1700029H14Rik-205	0	0	0	0	0	0	0	0
1700029I15Rik-201	0	0	0	0	0	0	0	0
1700029J07Rik-201	2	0	1	0	0	0	0	0
1700029P11Rik-201	0	0	1	0	0	0	0	0
1700030J22Rik-201	1	0	0	0	2	1	0	0
1700030K09Rik-201	21	8	7	16	13	9	14	10
1700031F05Rik-201	0	0	0	0	0	0	0	0
1700031L13Rik-204	0	0	0	0	0	0	0	0
1700034E13Rik-202	0	0	0	0	0	0	0	0
1700034I23Rik-201	0	0	0	0	0	0	0	0
1700034J05Rik-201	0	0	0	0	0	0	0	0
1700037C18Rik-202	2	3	7	1	6	3	10	8
1700037H04Rik-202	7	5	10	16	39	5	29	30
1700040F15Rik-201	0	0	0	0	0	0	0	0
1700042G07Rik-201	0	0	0	0	0	0	0	0
1700047I17Rik2-201	0	0	0	0	0	0	0	0
1700049E17Rik1-201	0	0	0	0	0	0	0	0
1700049E17Rik2-202	0	0	0	0	0	0	0	0
1700056E22Rik-201	0	0	0	1	0	1	2	1
1700057G04Rik-201	0	0	0	0	0	0	0	0
1700061G19Rik-201	0	1	0	0	0	0	0	0
1700064H15Rik-201	0	0	0	0	0	0	0	0
1700066B19Rik-201	0	0	0	0	0	0	0	0
1700066M21Rik-201	23	10	19	13	13	6	12	20
1700067K01Rik-203	0	0	0	0	0	0	0	0
1700067P10Rik-201	0	0	0	0	0	0	0	0
1700069L16Rik-203	0	0	0	0	0	0	0	0
1700074P13Rik-201	0	0	0	0	0	0	0	0
1700080O16Rik-201	0	0	0	0	0	0	0	0
1700084M14Rik-201	0	0	0	0	0	0	0	0
1700086D15Rik-201	0	0	0	0	0	0	0	0
1700088E04Rik-212	0	0	0	0	0	0	0	0
1700092M07Rik-201	0	0	0	0	0	0	0	0
1700093K21Rik-204	0	0	0	0	0	0	0	0
1700094D03Rik-202	0	0	0	0	0	0	0	0
1700102P08Rik-201	0	0	0	0	0	0	0	0
1700109H08Rik-201	2	2	2	1	0	0	3	0
1700113H08Rik-201	0	0	0	0	0	0	0	0
1700122O11Rik-201	0	0	0	0	0	0	0	0
1700123K08Rik-201	0	0	0	0	0	0	0	0
1700123L14Rik-201	0	0	0	0	0	0	0	0
1700123O20Rik-201	81	41	62	59	30	19	59	63
1700125H20Rik-201	0	0	0	0	0	0	0	0
1700129C05Rik-201	0	0	0	0	0	0	0	0
1810009A15Rik-201	0	0	0	0	0	0	0	0
