reference	RNA_GMP_Ven_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_A	RNA_GMP_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_Ven_B	RNA_HSC_vehicle_A	RNA_HSC_vehicle_B
Sgip1	8603.0	7898.0	6508.0	6263.0	2395.0	3525.0	8001.0	1669.0
Sgk1	459.0	374.0	322.0	420.0	129.0	137.0	323.0	61.0
Sgk2	2.0	0.0	4.0	0.0	0.0	2.0	2.0	0.0
Sgk3	14767.0	13400.0	13402.0	9301.0	1892.0	2924.0	9095.0	1829.0
Sgms1	449.0	435.0	430.0	419.0	282.0	350.0	581.0	111.0
Sgms2	8485.0	6507.0	6194.0	6295.0	997.0	1179.0	6575.0	855.0
Sgo1	1410.0	1147.0	1177.0	978.0	390.0	444.0	942.0	211.0
Sgo2a	1632.0	1222.0	1242.0	1019.0	364.0	446.0	1046.0	210.0
Sgo2b	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sgpl1	2692.0	2094.0	2405.0	1991.0	429.0	841.0	2269.0	442.0
Sgpp1	6846.0	4921.0	4363.0	5378.0	1642.0	3048.0	4897.0	918.0
Sgpp2	12.0	7.0	6.0	5.0	0.0	0.0	5.0	0.0
Sgsh	261.0	134.0	142.0	221.0	153.0	289.0	268.0	90.0
Sgsm1	44.0	64.0	107.0	62.0	38.0	27.0	115.0	16.0
Sgsm2	169.0	90.0	106.0	103.0	77.0	109.0	106.0	40.0
Sgsm3	470.0	341.0	479.0	362.0	78.0	59.0	327.0	59.0
Sgta	1544.0	1134.0	1227.0	1240.0	613.0	774.0	1164.0	432.0
Sgtb	51.0	20.0	26.0	31.0	11.0	5.0	29.0	5.0
Sh2b1	1441.0	970.0	955.0	1055.0	314.0	488.0	778.0	208.0
Sh2b2	896.0	558.0	649.0	559.0	74.0	34.0	610.0	131.0
Sh2b3	1770.0	1112.0	1142.0	1147.0	258.0	306.0	1342.0	266.0
Sh2d1a	0.0	4.0	2.0	0.0	0.0	3.0	1.0	1.0
Sh2d1b1	89.0	95.0	93.0	74.0	64.0	53.0	118.0	46.0
Sh2d1b2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Sh2d2a	37.0	9.0	36.0	28.0	0.0	2.0	43.0	10.0
Sh2d3c	1086.0	673.0	790.0	768.0	120.0	192.0	969.0	162.0
Sh2d4a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sh2d4b	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0
Sh2d5	2108.0	1249.0	1252.0	1216.0	196.0	290.0	889.0	248.0
Sh2d6	0.0	1.0	0.0	1.0	1.0	3.0	0.0	0.0
Sh2d7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sh3bgr	12.0	11.0	1.0	8.0	3.0	2.0	2.0	0.0
Sh3bgrl	5995.0	6316.0	5350.0	4913.0	1839.0	2329.0	4623.0	1283.0
Sh3bgrl2	5.0	5.0	5.0	4.0	3.0	0.0	7.0	0.0
Sh3bgrl3	12241.0	11827.0	10472.0	9808.0	16245.0	6838.0	9109.0	4436.0
Sh3bp1	76.0	40.0	55.0	42.0	8.0	16.0	52.0	9.0
Sh3bp2	1363.0	756.0	1066.0	698.0	393.0	461.0	873.0	261.0
Sh3bp4	28.0	6.0	4.0	14.0	53.0	74.0	106.0	21.0
Sh3bp5	904.0	475.0	515.0	646.0	367.0	523.0	774.0	201.0
Sh3bp5l	570.0	475.0	426.0	405.0	205.0	319.0	421.0	188.0
Sh3d19	528.0	488.0	447.0	534.0	44.0	94.0	302.0	47.0
Sh3d21	3.0	2.0	1.0	1.0	5.0	2.0	4.0	2.0
Sh3gl1	1484.0	1150.0	1092.0	982.0	261.0	267.0	1272.0	394.0
Sh3gl2	5.0	0.0	1.0	3.0	0.0	4.0	2.0	0.0
Sh3gl3	3.0	2.0	1.0	3.0	1.0	4.0	19.0	4.0
Sh3glb1	1276.0	1025.0	1094.0	953.0	903.0	827.0	1756.0	593.0
Sh3glb2	600.0	537.0	526.0	507.0	289.0	177.0	466.0	145.0
Sh3kbp1	9784.0	7845.0	7620.0	7204.0	1283.0	1438.0	7868.0	1494.0
Sh3pxd2a	13.0	8.0	27.0	17.0	16.0	64.0	12.0	3.0
Sh3pxd2b	16.0	5.0	17.0	11.0	24.0	15.0	25.0	9.0
Sh3rf1	106.0	52.0	83.0	45.0	93.0	69.0	61.0	29.0
Sh3rf2	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Sh3rf3	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0
Sh3tc1	741.0	387.0	533.0	437.0	78.0	140.0	559.0	99.0
Sh3tc2	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0
Sh3yl1	25.0	9.0	11.0	18.0	3.0	6.0	13.0	7.0
Shank1	89.0	98.0	51.0	68.0	1036.0	1225.0	35.0	14.0
Shank2	1.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0
Shank3	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0
Sharpin	1270.0	917.0	862.0	936.0	390.0	165.0	960.0	306.0
Shb	25.0	18.0	25.0	39.0	26.0	25.0	58.0	13.0
Shbg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shc1	3255.0	2430.0	2461.0	2424.0	492.0	463.0	2533.0	519.0
Shc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shc3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shc4	14.0	9.0	2.0	4.0	3.0	20.0	15.0	0.0
Shcbp1	2641.0	2579.0	2448.0	2102.0	824.0	562.0	1938.0	636.0
Shcbp1l	45.0	87.0	34.0	53.0	22.0	29.0	26.0	10.0
Shd	0.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0
She	20.0	2.0	3.0	1.0	3.0	0.0	6.0	1.0
Shf	34.0	23.0	16.0	22.0	11.0	12.0	11.0	2.0
Shfl	23.0	27.0	21.0	22.0	53.0	44.0	65.0	17.0
Shh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shisa2	506.0	321.0	382.0	329.0	61.0	85.0	456.0	90.0
Shisa3	8.0	4.0	4.0	5.0	0.0	0.0	0.0	0.0
Shisa4	0.0	0.0	0.0	0.0	0.0	6.0	2.0	3.0
Shisa5	3328.0	2576.0	2478.0	2436.0	732.0	760.0	1860.0	631.0
Shisa6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shisa7	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Shisa8	19.0	6.0	8.0	7.0	6.0	2.0	6.0	8.0
Shisa9	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Shisal1	5.0	3.0	6.0	2.0	4.0	7.0	3.0	0.0
Shisal2a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shisal2b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shkbp1	1278.0	968.0	1045.0	1026.0	437.0	335.0	760.0	257.0
Shld1	127.0	147.0	111.0	98.0	137.0	88.0	128.0	55.0
Shld2	426.0	299.0	286.0	346.0	115.0	191.0	417.0	107.0
Shld3	298.0	339.0	224.0	250.0	138.0	210.0	164.0	52.0
Shmt1	1992.0	1692.0	1915.0	1660.0	415.0	342.0	1502.0	402.0
Shmt2	3429.0	2642.0	3158.0	2968.0	1216.0	946.0	1870.0	591.0
Shoc1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Shoc2	3325.0	2913.0	2997.0	2452.0	469.0	632.0	2568.0	337.0
Shox2	1.0	2.0	0.0	2.0	0.0	0.0	3.0	1.0
Shpk	178.0	141.0	152.0	125.0	47.0	45.0	134.0	49.0
Shprh	1085.0	808.0	993.0	837.0	284.0	387.0	961.0	131.0
Shq1	626.0	579.0	632.0	543.0	193.0	139.0	471.0	146.0
Shroom1	1.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0
Shroom2	46.0	48.0	21.0	28.0	1.0	3.0	11.0	3.0
Shroom3	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
Shroom4	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
Shtn1	35.0	47.0	65.0	56.0	0.0	8.0	17.0	2.0
Siae	758.0	582.0	611.0	590.0	140.0	208.0	743.0	165.0
Siah1a	579.0	545.0	476.0	470.0	176.0	373.0	526.0	172.0
Siah1b	250.0	237.0	228.0	213.0	112.0	219.0	201.0	72.0
Siah2	504.0	345.0	397.0	306.0	145.0	117.0	196.0	72.0
Siah3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sidt1	8.0	0.0	1.0	4.0	0.0	2.0	3.0	1.0
Sidt2	2333.0	1528.0	1390.0	1526.0	379.0	794.0	1604.0	254.0
Sigirr	561.0	539.0	477.0	435.0	224.0	217.0	519.0	181.0
Siglec1	2.0	3.0	2.0	2.0	0.0	0.0	10.0	1.0
Siglec15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Siglece	3149.0	1908.0	1967.0	1975.0	602.0	278.0	1576.0	449.0
Siglecf	4482.0	3943.0	2739.0	2994.0	247.0	194.0	1735.0	390.0
Siglecg	450.0	233.0	110.0	162.0	75.0	140.0	358.0	106.0
Siglech	0.0	0.0	1.0	6.0	0.0	0.0	15.0	1.0
Sigmar1	1132.0	785.0	1005.0	754.0	327.0	251.0	738.0	228.0
Sik1	275.0	162.0	113.0	138.0	123.0	122.0	235.0	76.0
Sik2	638.0	469.0	380.0	398.0	25.0	9.0	381.0	24.0
Sik3	943.0	575.0	645.0	687.0	204.0	469.0	733.0	176.0
Sike1	1243.0	1249.0	1250.0	1112.0	531.0	712.0	1260.0	369.0
Sil1	882.0	805.0	677.0	762.0	336.0	235.0	600.0	286.0
Sim1	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0
Sim2	3.0	14.0	10.0	10.0	10.0	18.0	16.0	1.0
Simc1	293.0	157.0	254.0	202.0	45.0	43.0	182.0	13.0
Sin3a	2321.0	1556.0	1790.0	1594.0	571.0	635.0	1676.0	365.0
Sin3b	1914.0	1810.0	1883.0	1743.0	1826.0	850.0	1658.0	713.0
Sinhcaf	1850.0	1835.0	1971.0	1428.0	452.0	997.0	1637.0	390.0
Sipa1	3258.0	1917.0	2482.0	2191.0	692.0	658.0	2733.0	561.0
Sipa1l1	1358.0	997.0	847.0	904.0	59.0	53.0	360.0	55.0
Sipa1l2	276.0	127.0	170.0	138.0	62.0	203.0	324.0	53.0
Sipa1l3	487.0	329.0	297.0	325.0	131.0	292.0	403.0	74.0
Sirpa	5835.0	3464.0	3649.0	3933.0	1209.0	2368.0	4558.0	1005.0
