"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",286.878855300484,0.00990284887494258,0.113212486820089,0.716550670075699,0.957022235137658
"0610030E20Rik",272.956204542892,1.17425434260705,0.400997776199752,0.000125178769347145,0.0764169671803609
"1110004F10Rik",835.644627339254,-0.00758916159853501,0.109592870384076,0.84069556420125,0.977228925104371
"1110008P14Rik",68.61165074989,-0.0416413773464842,0.125148841413309,0.0638013993706267,NA
"1110012L19Rik",90.3198998589155,-0.0255628130746534,0.117059581194582,0.328467388108021,NA
"1110038F14Rik",108.22765316389,0.00813160515756483,0.114276061934608,0.709040691674477,NA
"1110059E24Rik",182.907402285934,-0.0717244980125963,0.145791050385513,0.0278562531706177,0.563436832333892
"1110059G10Rik",127.548989016972,-0.0411347884685618,0.123178078242585,0.142580356952964,NA
"1500011B03Rik",117.249918426437,-0.0478195338245011,0.128131263179422,0.0577913732385523,NA
"1600002K03Rik",90.7234126804964,-0.00655611541806621,0.114371214436558,0.751661060518312,NA
"1600012H06Rik",125.141542605504,0.0242474323424773,0.117389051059696,0.297663609389092,NA
"1600014C10Rik",498.528280587093,0.076263431620817,0.145285323126257,0.0599006008233138,0.65515016356252
"1700010I14Rik",97.1007152606762,-0.032743075466548,0.119737930196958,0.222804946073651,NA
"1700017B05Rik",239.284591680353,0.0309287136007301,0.116251211408052,0.366794076247604,0.874748296990499
"1700020L24Rik",175.153543565645,0.00963214931759643,0.113399980369131,0.730009770702352,0.960691284024209
"1700021F05Rik",168.632341037461,-0.0669034859943825,0.141169444214353,0.0361325534138418,0.575357335280145
"1700030K09Rik",60.7742697473639,0.0167019519671252,0.115865096197472,0.436018691111717,NA
"1700037H04Rik",99.784145785036,-0.00714536102707138,0.113953633467298,0.762714194664415,NA
"1700066M21Rik",85.9031631683371,-0.00889103435734574,0.114181084610845,0.704274372193329,NA
"1700123O20Rik",345.918831550246,-0.00661466267847398,0.110919278124174,0.845462444284196,0.977228925104371
"1810013L24Rik",92.6547422928894,0.0123347929841901,0.114411577241163,0.616430654075806,NA
"1810030O07Rik",532.764842444415,-0.0446868297092941,0.119685389803457,0.258142184312128,0.824178959423449
