"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610010F05Rik",452.315984654083,-0.396187828217824,0.3764209281231,0.191273298586624,0.385375037817783
"0610030E20Rik",629.094281091432,-0.0395860899497829,0.324822066044692,0.882762341808612,0.944385672993632
"1110004F10Rik",1563.07383060676,0.0244426520137594,0.333271732940759,0.934667200173354,0.970632583194137
"1110008P14Rik",398.324820479653,1.55990285862188,0.66799385788469,0.00176866576142138,0.0129168889778848
"1110012L19Rik",168.071447515281,-0.0489072839587693,0.40073674086867,0.86868718650011,0.936431982418519
"1110038F14Rik",662.173948737636,1.46510566353282,0.473110183513711,0.000227386879004036,0.00244791800606814
"1110059E24Rik",635.153154676418,-0.110847994395506,0.330934819380699,0.687866468612884,0.828136905467948
"1110059G10Rik",580.283749762093,0.894982025207394,0.41311630838753,0.00802148492556226,0.0418595742375242
"1500011B03Rik",150.405244705895,0.586844562036143,0.480856748555205,0.0911796603202499,0.237623023906927
"1600002K03Rik",266.13446986244,1.70912726561826,0.618039553408794,0.000466787932861487,0.0043303680260678
"1600012H06Rik",386.031933517249,-0.193053782050927,0.341747542864898,0.49335842794326,0.691035037582271
"1600014C10Rik",1211.22936809572,-0.743740576766284,0.379546554562142,0.0176350688266421,0.0755071130631533
"1700010I14Rik",133.116315705208,0.000429829328148927,0.368092437546396,0.998380831077685,0.999461967131952
"1700017B05Rik",680.413912699842,0.441283183368082,0.358780957683535,0.136237931942671,0.308890994940221
"1700020L24Rik",484.902522967329,1.30669797164065,0.534112302051397,0.00189313746910553,0.0136656943134107
"1700021F05Rik",521.926263763878,1.51128403168836,0.455627081156556,0.000105267983410102,0.00130760230104856
"1700030K09Rik",194.569035206705,0.546446413963986,0.396119420316039,0.0843047611890757,0.225502306002681
"1700037H04Rik",531.197226769837,0.61967058856273,0.44577388165322,0.0677363192764242,0.196363265987506
"1700066M21Rik",216.641181794391,-0.27410457503231,0.371402513225688,0.355884102800734,0.571511855694734
"1700123O20Rik",1063.70848606886,0.153959222029087,0.336296134206251,0.587194575240472,0.761213504283181
"1810013L24Rik",249.943334325215,-0.0691891045842941,0.3408605180524,0.804121566813128,0.900120675559753
"1810030O07Rik",931.658989533492,-0.159199048321418,0.323031872313028,0.557356490755592,0.739896876434841
"1810037I17Rik",6891.47477748675,3.05650073620327,0.441214364861007,3.05003038469177e-13,1.25697613601004e-10
"1810058I24Rik",825.824625094608,1.27354539608712,0.458416977688418,0.000783289805888564,0.00663779116360377
"2010315B03Rik",125.538525310929,-0.216197716027486,0.382063612512856,0.471771818281236,0.673187736117227
"2210016F16Rik",1454.04986109575,0.687810763614755,0.421664584246285,0.0381478311799029,0.132086338701474
"2210016L21Rik",352.249584723816,0.476222279405242,0.453841058147179,0.153883442766236,0.333963071409053
"2310009A05Rik",265.601084968628,1.89237561129764,0.525807408549067,2.59794036449661e-05,0.000433467626642357
"2310022A10Rik",217.949407770932,-0.237459911143578,0.356929389660706,0.414083797979445,0.62459967451665
"2310022B05Rik",114.254571970459,0.238975398740672,0.384223625131522,0.431357400781657,0.637207612199907
"2310033P09Rik",362.325824775217,1.64883594656956,0.482388730983223,6.32102305693365e-05,0.000873523313097645
"2310057M21Rik",156.00285563438,0.284119560291794,0.377519908566065,0.34703443772683,0.562270586580817
"2310061I04Rik",122.466215065825,0.521546179794212,0.417538497683042,0.107664265113654,0.265057140539543
"2410002F23Rik",738.709098564117,0.712279277460121,0.405668472181989,0.0287018653684558,0.107832945287779
"2410004B18Rik",379.342800329708,0.609066940728797,0.410679804332852,0.0603862064676767,0.181762124059939
"2510039O18Rik",924.567093816848,0.0157757513578291,0.319634093766759,0.957325337062845,0.980354581825815
"2610001J05Rik",1677.3041813533,0.939865930012759,0.41660566617508,0.0056852868414836,0.0318609905255379
"2610002M06Rik",356.401388577181,0.081674313680373,0.332708654212355,0.773391963129026,0.881326593116498
"2610008E11Rik",171.531420982467,0.165515948462658,0.36153039729803,0.578273302600311,0.754984757998909
"2610021A01Rik",129.411230161182,-0.240192612670966,0.410903385133706,0.438182252368599,0.643907859901278
"2610507B11Rik",1286.14262041944,0.00181568373069236,0.347318228365491,0.998681823356803,0.999461967131952
