"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610009B22Rik",61.2085763718652,1.13585875146287,1.11651944363598,1.01732106676433,0.309000717997171,0.999944342077765
"0610010F05Rik",365.548735810176,0.130182053193976,0.345657180930476,0.376621868070377,0.706454634107338,0.999944342077765
"0610010K14Rik",18.0746465402032,0.0168448708546156,2.160670373924,0.00779613172740625,0.993779649872586,0.999944342077765
"0610012G03Rik",72.1445548814621,-1.26877682952066,2.06608357635309,-0.614097534118254,0.53915087764201,0.999944342077765
"0610030E20Rik",250.054453713499,-0.182352571551648,0.372572247986783,-0.489442175408934,0.624528683247635,0.999944342077765
"0610040J01Rik",10.967980923331,-0.883412957049515,1.87310488732904,-0.471630266423159,0.637190719288829,0.999944342077765
"1110002E22Rik",0,NA,NA,NA,NA,NA
"1110004F10Rik",970.362074885724,-0.028685820079952,0.254404247002587,-0.112756844344899,0.910223333292007,0.999944342077765
"1110008P14Rik",63.5649075162207,-0.29792687832689,0.547548015117946,-0.5441109639722,0.58636511612821,0.999944342077765
"1110012L19Rik",107.408183661921,0.373996932309131,0.412960727871563,0.905647697389399,0.36512235420838,0.999944342077765
"1110017D15Rik",0.0924836069537514,1.32972995590581,6.9870290199086,0.190314073709573,0.849063025967947,0.999944342077765
"1110025L11Rik",0,NA,NA,NA,NA,NA
"1110032A03Rik",19.6386482049305,-0.769844187749967,1.78357953922154,-0.431628739184782,0.666011267319903,0.999944342077765
"1110032F04Rik",6.2319037867641,0.449504710590098,2.45451434445175,0.18313386988598,0.854692980823893,0.999944342077765
"1110038F14Rik",91.3104756396673,0.0695122888609906,0.549912433168174,0.126406105169352,0.899410469693044,0.999944342077765
"1110051M20Rik",26.9289293207578,0.529355988955004,0.859277950158034,0.616047448741875,0.537863204204966,0.999944342077765
"1110057P08Rik",0,NA,NA,NA,NA,NA
"1110059E24Rik",173.960090501989,0.244953177113818,0.42387552668627,0.577889407838163,0.563338786949048,0.999944342077765
"1110059G10Rik",112.643642003975,-0.502796428845685,0.483315939449001,-1.04030591132354,0.298197798701739,0.999944342077765
"1110065P20Rik",5.7029393098097,-0.355555833592554,2.36906529060291,-0.150082749936397,0.880699329385686,0.999944342077765
"1190005I06Rik",0,NA,NA,NA,NA,NA
"1190007I07Rik",28.9684323079115,1.08321803852794,1.84096202837479,0.58839781691978,0.55626530272862,0.999944342077765
"1300017J02Rik",0.129516561079696,3.70156823039642,6.9559138429454,0.532146934820147,0.59462423249725,0.999944342077765
"1500009C09Rik",0.447779577223848,2.11324003084989,4.81557275078199,0.438834618479541,0.660781374167823,0.999944342077765
"1500009L16Rik",0.0611456214145236,-2.29323219728809,6.98795101669137,-0.328169472254527,0.742783528433678,0.999944342077765
"1500011B03Rik",172.259429729019,0.0999638912264902,0.402574423150197,0.248311580363849,0.803893339709105,0.999944342077765
"1520401A03Rik",0.087939190964832,-0.757169549211814,6.99171154859007,-0.108295307086074,0.913761445127005,0.999944342077765
"1600002K03Rik",84.7094507003452,-0.0348670090422295,0.480240516085361,-0.0726032224986864,0.942121862307332,0.999944342077765
"1600012H06Rik",119.32439864012,-0.108908890096498,0.565849861814754,-0.192469588571097,0.84737438734759,0.999944342077765
"1600014C10Rik",528.910677186558,0.185043764419799,0.324854379243727,0.569620655416705,0.568935015847478,0.999944342077765
"1600014C23Rik",0,NA,NA,NA,NA,NA
"1700001C02Rik",0,NA,NA,NA,NA,NA
"1700001C19Rik",1.67463600879038,-0.960455146741187,3.0148026290257,-0.318579776166502,0.750045191247902,0.999944342077765
"1700001F09Rik",0,NA,NA,NA,NA,NA
"1700001J03Rik",0.184202039075537,-0.764604601173371,6.87738376485998,-0.11117666649346,0.911476254351049,0.999944342077765
"1700001K19Rik",0.0305728107072618,-1.27067848268113,7.05725056175007,-0.180052907511623,0.857111032667986,0.999944342077765
"1700001L19Rik",0,NA,NA,NA,NA,NA
"1700001O22Rik",0.251641221877114,3.09434570359733,6.62453771319559,0.467103643690279,0.640425727416273,0.999944342077765
"1700001P01Rik",0.162808396825039,4.03127397695422,6.9482708850357,0.580183767106182,0.56179069923679,0.999944342077765
"1700003E16Rik",0.50144016903902,0.870886989854284,5.14151399639041,0.169383374326256,0.865495099916866,0.999944342077765
"1700003F12Rik",0.210101974538602,-1.05351736197425,6.87077872230527,-0.153333036116286,0.878135649651181,0.999944342077765
"1700003H04Rik",0,NA,NA,NA,NA,NA
"1700006A11Rik",0,NA,NA,NA,NA,NA
"1700007K13Rik",0.0517998709261303,-2.0757457304775,6.9991952582874,-0.29656919886893,0.766795429169621,0.999944342077765
"1700008O03Rik",2.50124139417267,-2.07616558412778,2.56878821818036,-0.808227618545549,0.418959561371618,0.999944342077765
"1700008P02Rik",0,NA,NA,NA,NA,NA
"1700009N14Rik",0,NA,NA,NA,NA,NA
"1700010B08Rik",0.0258999354630652,-1.149762768368,7.06292339873248,-0.162788508873583,0.870684956169029,0.999944342077765
"1700010I14Rik",110.097602661347,0.0113021148017903,0.434755268654156,0.0259964987584337,0.979260131094629,0.999944342077765
"1700011L22Rik",0,NA,NA,NA,NA,NA
"1700011M02Rik",0,NA,NA,NA,NA,NA
"1700012A03Rik",0,NA,NA,NA,NA,NA
"1700012B07Rik",0.0591917712084083,0.322036590074793,7.05941990118196,0.0456179961785351,0.963614725227522,0.999944342077765
"1700012B09Rik",3.56936332582672,-0.703919173788372,2.22523660563171,-0.316334529104396,0.751748605297512,0.999944342077765
"1700012P22Rik",0,NA,NA,NA,NA,NA
"1700013F07Rik",0,NA,NA,NA,NA,NA
"1700013G24Rik",0.031466444794505,1.68941903695097,7.06572183549107,0.239100700011289,0.811027498986545,0.999944342077765
"1700013H16Rik",0,NA,NA,NA,NA,NA
"1700014D04Rik",0.159067278444438,2.33135801380554,6.9506040126048,0.335418045622749,0.73730975717655,0.999944342077765
"1700015F17Rik",0,NA,NA,NA,NA,NA
"1700015G11Rik",0,NA,NA,NA,NA,NA
