Gene,Ribo_logFC,Ribo_padj,Input_logFC,Input_padj,TE_logFC,TE_padj,Group
Iars,0.862281436,0.017814309,-0.924552412,0.048393574,1.980007764,0.001820011,Buffered
Iars2,0.132020239,0.617863854,-0.408867653,0.361851265,0.746626165,0.195487328,No change
Ibtk,0.252509842,0.387973254,0.62079251,0.165831456,-0.153276549,0.824632091,No change
Icam2,-0.123452137,0.663216711,-0.142829982,0.79006305,-0.073430945,0.924447354,No change
Ice1,0.04072528,0.910497274,0.274949193,0.592082174,-0.135776238,0.852452701,No change
Ide,0.461136449,0.133975279,-0.420939859,0.359883496,0.983490052,0.088945057,No change
Idh1,0.07454736,0.830337,-0.779013754,0.053455333,0.952024761,0.0668977,No change
Idh2,0.061338159,0.872355144,-0.207687689,0.664503568,0.304555194,0.601087138,No change
Idh3a,0.124189997,0.696410701,-0.443171342,0.325744207,0.632834049,0.251159732,No change
Idh3b,0.022008048,0.956146983,-0.484955842,0.28021176,0.497692352,0.381158141,No change
