"pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"RA_MAPK6/MAPK4_signaling%R-MMU-5687128",0.907801418439716,0.996411483253589,0.220033193470224,0.764519525372203,255,39,"PSME3;MAPK6;PRKACA;PSMB5;CCND3;DNAJB1;PSMD8;PSME4;PRKACB"
"RA_Orc1_removal_from_chromatin%R-MMU-68949",0.988888888888889,0.996411483253589,-0.195386312213025,-0.589353040336826,711,43,"RPS27A;PSMD6;PSMA7;MCM7;PSMC5;PSMD7;PSME1;MCM5;ORC4;MCM2;PSMC1;PSMD14;CDC6"
"RA_p53-Dependent_G1_DNA_Damage_Response%R-MMU-69563",0.919377652050919,0.996411483253589,-0.242784676266546,-0.700313641297469,649,34,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_p53-Dependent_G1/S_DNA_damage_checkpoint%R-MMU-69580",0.919377652050919,0.996411483253589,-0.242784676266546,-0.700313641297469,649,34,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_G1/S_DNA_Damage_Checkpoints%R-MMU-69615",0.927068723702665,0.996411483253589,-0.237992762710516,-0.693350850125073,660,35,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_Ubiquitin-dependent_degradation_of_Cyclin_D%R-MMU-75815",0.851528384279476,0.996411483253589,-0.262741784003517,-0.733288897282695,584,29,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_FBXL7_down-regulates_AURKA_during_mitotic_entry_and_in_early_mitosis%R-MMU-8854050",0.887464387464387,0.996411483253589,-0.251651688229013,-0.714260090954663,622,31,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_Signaling_by_the_B_Cell_Receptor_(BCR)%R-MMU-983705",0.926218708827404,0.996411483253589,-0.223134664340848,-0.696860305372164,702,56,"RPS27A;VAV1;PSMD6;PSMA7;CD79B;PPP3CA;PSMC5;NCK1;PSMD7;PSME1;GRB2"
"RA_Transcriptional_regulation_by_RUNX3%R-MMU-8878159",0.864714086471409,0.996411483253589,-0.256990840385541,-0.753017510218157,619,36,"RPS27A;PSMD6;PSMA7;SNW1;PSMC5;PSMD7;PSME1"
"RA_Regulation_of_TP53_Activity%R-MMU-5633007",0.920353982300885,0.996411483253589,-0.222921461909223,-0.732595105823636,727,74,"CHD4;RFC4;CSNK2A1;RPS27A;TAF15;TAF9;RFC3;BLM;PPP2R1A;TPX2;RPA3;CSNK2B;TAF10"
"RA_RAB_geranylgeranylation%R-MMU-8873719",0.944954128440367,0.996411483253589,0.213859052010521,0.66481729213128,308,24,"RAB32;RAB5A;RAB6A;RAB5B;RAB3D"
"RA_Synthesis_of_substrates_in_N-glycan_biosythesis%R-MMU-446219",0.936170212765957,0.996411483253589,0.221111086575241,0.683182047666231,307,23,"NUS1;DHDDS;GFPT1;SLC35C1"
"RA_RND1_GTPase_cycle%R-MMU-9696273",0.94620253164557,0.996411483253589,-0.248543632508638,-0.60776547305432,597,16,"TMEM59;KIF14;TFRC;RBMX;RND1;RBM39;CCDC88A"
"RA_COPI-independent_Golgi-to-ER_retrograde_traffic%R-MMU-6811436",0.99554234769688,0.996411483253589,-0.174817386103771,-0.466350769460741,669,23,"DYNC1H1;PLA2G4A;ACTR10;DCTN6;DYNC1LI1;DYNC1I2;DCTN3"
"RA_Apoptotic_cleavage_of_cellular_proteins%R-MMU-111465",0.868462757527734,0.996411483253589,-0.282992967917809,-0.701644976633322,547,17,"BCAP31"
"RA_RHOD_GTPase_cycle%R-MMU-9013405",0.981651376146789,0.996411483253589,0.195862884345007,0.608873139458524,320,24,"EMD;DEPDC1B;ARHGAP26;PIK3R1;ANKFY1;ADD3"
"RA_RHOF_GTPase_cycle%R-MMU-9035034",0.966101694915254,0.996411483253589,0.20486717220735,0.595478139497639,341,18,"DEPDC1B;PIK3R1;SENP1;MTMR1;ADD3;ARHGAP21"
"RA_EPH-Ephrin_signaling%R-MMU-2682334",0.977711738484398,0.996411483253589,-0.214911087654791,-0.573306541913193,657,23,"RHOA;PSENEN;ARPC3;ARHGEF7;ARPC2;EPHA7;CDC42;ROCK1;ARPC5;ACTR3;ARPC1A"
"RA_EPHB-mediated_forward_signaling%R-MMU-3928662",0.952305246422893,0.996411483253589,-0.2494692105676,-0.597783420302005,598,15,"RHOA;ARPC3;ARPC2;CDC42;ROCK1;ARPC5;ACTR3;ARPC1A"
"RA_Antigen_activates_B_Cell_Receptor_(BCR)_leading_to_generation_of_second_messengers%R-MMU-983695",0.865951742627346,0.996411483253589,0.25952850174944,0.718984646088938,322,15,"DAPP1;PIK3CD;SYK;PIK3R1;SH3KBP1"
"RA_Regulation_of_RUNX3_expression_and_activity%R-MMU-8941858",0.854014598540146,0.996411483253589,-0.265752733712424,-0.743843037700794,584,30,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_SCF(Skp2)-mediated_degradation_of_p27/p21%R-MMU-187577",0.938659058487874,0.996411483253589,-0.227875936749277,-0.653073320015959,657,33,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"RA_RNA_Polymerase_III_Transcription_Initiation_From_Type_2_Promoter%R-MMU-76066",0.875,0.996411483253589,-0.279081875001133,-0.682440849797488,552,16,"POLR3GL"
"RA_GSK3B_and_BTRC:CUL1-mediated-degradation_of_NFE2L2%R-MMU-9762114",0.856934306569343,0.996411483253589,-0.262943231314055,-0.735979228477698,586,30,"RPS27A;PSMD6;PSMA7;PSMC5;PSMD7;PSME1"
"BP_axon_guidance%0007411",0.780487804878049,0.997878207033692,-0.281459781074085,-0.758882797552457,543,24,"EMB;EVL"
"BP_positive_regulation_of_extrinsic_apoptotic_signaling_pathway%2001238",0.781767955801105,0.997878207033692,0.280191444578851,0.762734473661208,282,15,"PML;BID;RBCK1;CASP8;LTBR"
"BP_intrinsic_apoptotic_signaling_pathway_in_response_to_DNA_damage%0008630",0.781115879828326,0.997878207033692,-0.284454597575479,-0.790642813587,545,30,"BRCA2;MSH2;HTRA2;ATAD5;MBD4"
"KEGG_Tight_junction%mmu04530",0.99384236453202,0.998107782405548,-0.189028020309518,-0.605865949534422,806,68,"TUBA1B;PCNA;ARPC5L;MYL6;ACTG1;PPP2R1A;RAB8A;MYL12A;RHOA;HCLS1"
"BP_RNA_polymerase_II_preinitiation_complex_assembly%0051123",0.785714285714286,0.998887734077275,-0.284279209040461,-0.779709120015213,549,28,"GTF2F2;TAF9;GTF2B;GTF2A2"
"BP_response_to_oxidative_stress%0006979",0.788366336633663,0.998887734077275,-0.254806210798587,-0.829931661012362,636,75,"AIFM1;PRDX1;NDUFS2;SOD1;NDUFA12;PRDX5;PRDX4;PRDX2"
"BP_negative_regulation_of_ERK1_and_ERK2_cascade%0070373",0.785074626865672,0.998887734077275,-0.299930247054842,-0.77640145272803,525,20,"PTPN2;EIF3A"
"BP_gluconeogenesis%0006094",0.788148148148148,0.998887734077275,-0.292668954662717,-0.76468527570102,531,21,"PGK1;GPD2;PCK2;G6PC3;MDH1;GAPDH;C1QTNF12;TPI1"
"KEGG_Salmonella_infection%mmu05132",1,1,0.164197576112822,0.705391956345551,118,147,"TRAF6;MAP3K7;CYTH1;ARL8B;MAPK1;ELMO2;MAPK14;ARF6;EXOC7;RAB5A;PIK3CD;MAPK3;FBXO22;CYFIP1;VPS39;RAB5B;PIK3CB;RAB7;MAP2K2;PKN1;IRAK4;IKBKB;ELMO1;DCTN4;RHOB;MYD88;FYCO1;KIF5B;CYTH4;SNX18;CASP8;KLC4"
"BP_neuron_migration%0001764",0.876543209876543,1,-0.250812015943531,-0.724261755795133,638,35,"CXCR4;PCNT;PCM1;HSP90AA1;ASPM;RHOA;PEX7"
"BP_positive_regulation_of_lamellipodium_assembly%0010592",0.92330383480826,1,0.22471871713486,0.631806722120693,312,17,"AKIRIN1;CYFIP1;PIK3R1;DNM2;HDAC4;TWF2;WASF2"
"BP_actin_cytoskeleton_organization%0030036",0.838129496402878,1,-0.240561460403193,-0.799589846107335,698,86,"S100A9;SPTAN1;TYROBP;PDLIM1;RAC2;RHOA;FLNA;RHOG;DIAPH1;GRB2;TLN1;PFN1;DIAPH3;FLNB;CLN3;SPECC1;CORO1A;RICTOR;MKLN1;DTNBP1;DNAJB6;PLEC;CSRP1"
"BP_positive_regulation_of_transcription_elongation_by_RNA_polymerase_II%0032968",0.985693848354792,1,-0.198216250302947,-0.550942945461102,688,30,"BRD4;SUPT6;GTF2F1;EAPP;MED4;LEO1;CDK9"
"BP_protein_ubiquitination%0016567",0.795698924731183,1,0.201560346973383,0.895710227826163,73,192,"SOCS6;TRAF6;DTX4;ANAPC16;APPBP2;IFT80;CUL4A;MGRN1;FBXL5;RNF114;KLHL2;UBE2J1;TRPC4AP;ARIH2;UBE2Q1;ANKIB1;KLHDC10;WWP2;RNF38;VCPIP1;MED24;KCMF1;SPOP;DCAF7;MED12;DTX3L;TRIM35;UBE4B;CUL1"
"BP_cell_adhesion%0007155",0.868388683886839,1,-0.235433330792094,-0.764299437232922,705,72,"EMB;OLFM4;ANXA2;FN1;COL19A1;SPG7;PBXIP1;CFDP1;CD44;RHOA;CD177;VCAM1;RPSA"
"BP_protein_stabilization%0050821",0.817102137767221,1,-0.24137259313454,-0.821340815657123,687,106,"SUMO1;RPL23;RTN4;HSPD1;TYROBP;GTPBP4;GRN;PPIB;CCNH;TAF9;HSP90AA1;NOP53;NPM1;RPL11;CCT8;MFSD1;CDK7;UFL1;NCOR1;FLNA"
"BP_neuron_projection_development%0031175",0.910377358490566,1,0.207792486039074,0.788848403598114,192,60,"ECE1;NDEL1;FRY;LYN;SNAPIN;PHGDH;CYFIP1;UBE4B;MRTFA;RB1;IKBKB;IGF1R"
"BP_lipid_catabolic_process%0016042",0.885542168674699,1,0.246309564441542,0.731249271852818,293,20,"PLD1;PAFAH1B2;LPL"
"BP_negative_regulation_of_transforming_growth_factor_beta_receptor_signaling_pathway%0030512",0.98465829846583,1,-0.189915505192875,-0.541863937832547,705,33,"ARID4B;LRP1;ARID4A;STUB1;SIRT1;HDAC2"
"BP_inflammatory_response%0006954",0.950423216444982,1,-0.213245235594997,-0.710355474962819,785,90,"LY86;CD47;CCL9;NDUFS4;CYBB;CD44;PYCARD;LIAS;AIMP1;CCL6;HMGB1;CCR1;VCAM1;NAIP2;PLGRKT;CYBA;LIPA;ASH1L;C3"
