"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"0610010F05Rik",-0.0132172791801757,0.983014849823213,-0.396187828217824,0.385375037817783,0.269174232214459,0.673505409876173,"No change"
"0610030E20Rik",0.0113724648826055,0.988345721522096,-0.0395860899497829,0.944385672993632,0.0730402159017065,0.913168454839913,"No change"
"1110004F10Rik",-0.0673500779902163,0.881317753677703,0.0244426520137594,0.970632583194137,-0.166912434762998,0.801224736300153,"No change"
"1600002K03Rik",-0.0562677629174726,0.866640080930093,1.70912726561826,0.0043303680260678,-1.89198314469609,0.0194453680903065,"Buffered (Special)"
"1600014C10Rik",-0.131181448713635,0.598295432115539,-0.743740576766284,0.0755071130631533,0.151742676055943,0.817423500534119,"No change"
"1700017B05Rik",0.0780093481172479,0.841398404404729,0.441283183368082,0.308890994940221,-0.161674879752687,0.806035273704453,"No change"
"1700020L24Rik",-0.192147473916067,0.42978190230299,1.30669797164065,0.0136656943134107,-2.07104382153033,0.0056369372172468,"Buffered (Special)"
"1700021F05Rik",-0.0243192657037736,0.95618454661217,1.51128403168836,0.00130760230104856,-1.54178320330483,0.0135162321772476,"Buffered (Special)"
"1700123O20Rik",-0.147718074687658,0.530401233009965,0.153959222029087,0.761213504283181,-0.649878452667194,0.245686355080337,"No change"
"1810030O07Rik",-0.0175572417897932,0.977548897676667,-0.159199048321418,0.739896876434841,0.0827345300428871,0.89784569005916,"No change"
"1810037I17Rik",-0.100278149001322,0.771565168499241,3.05650073620327,1.25697613601004e-10,-3.42590511881825,1.67435197781124e-08,"Buffered (Special)"
"2210016F16Rik",-0.028541967883184,0.946569088170595,0.687810763614755,0.132086338701474,-0.710078686542653,0.234150459156009,"No change"
"2210016L21Rik",-0.0523660144616001,0.889928238547856,0.476222279405242,0.333963071409053,-0.569930999895669,0.346658899426226,"No change"
"2410004B18Rik",-0.0993845103479446,0.707996271839346,0.609066940728797,0.181762124059939,-1.05983412307483,0.0794776049983967,"No change"
"2510039O18Rik",-0.0118637086760443,0.987153391315185,0.0157757513578291,0.980354581825815,-0.0420559759679981,0.954410318955802,"No change"
"2610507B11Rik",0.157563746224932,0.633457665776712,0.00181568373069236,0.999461967131952,0.267016907957801,0.657719770752755,"No change"
"2700049A03Rik",0.285443662566056,0.310228633815815,-0.499953894111982,0.269801282792906,1.28798634337978,0.0289904608070738,"No change"
"2810004N23Rik",0.00733340082131357,0.992562863411347,1.01852290091686,0.0218595919838801,-0.8789850161986,0.117801301867883,"No change"
"2810006K23Rik",-0.140123656679951,0.52587470529986,0.0590165476160888,0.922738892604105,-0.474882482128266,0.438155520454516,"No change"
"3110040N11Rik",-0.0272393142744214,0.952642194856864,1.80003105561066,0.000253852188458625,-1.84218468539483,0.00373875955937717,"Buffered (Special)"
"3110082I17Rik",0.0336915751571767,0.92822694203265,0.601338727617939,0.223922109461251,-0.323600795296526,0.608713271894811,"No change"
