"Gene","Ribo_logFC","Ribo_padj","Input_logFC","Input_padj","TE_logFC","TE_padj","Group"
"0610010F05Rik",-0.337922301352596,0.412960695346772,-1.15982785676589,0.000802480037071092,0.399386752892937,0.472184342469386,"No change"
"0610030E20Rik",1.01991493303434,0.0453156506832785,-0.29896497299324,0.429344573211034,1.5038715471909,0.00230058573940437,"Exclusive"
"1110004F10Rik",-0.357708864831383,0.373755782454916,-0.157814365057788,0.687898822612866,-0.287767750027917,0.596059122045995,"No change"
"1110008P14Rik",-0.151420728975458,0.612178408190055,2.55971889442214,3.03341831081558e-06,-3.26194018722846,0.000293069173207397,"Buffered (Special)"
"1110012L19Rik",-0.717219464069413,0.170545312952416,0.197045176642705,0.695391257547237,-1.25115381369093,0.0639273047829416,"No change"
"1110038F14Rik",0.606778247464395,0.20371010654179,2.16710774537137,1.07492902439718e-10,-0.551706402360155,0.340275259742249,"No change"
"1110059E24Rik",-0.00266857483160059,0.997513033832173,0.36390074195391,0.326001499803297,-0.328991903867837,0.592491100477015,"No change"
"1110059G10Rik",-0.0144736136400004,0.976890100456368,1.75747622038758,4.39204981796101e-06,-1.63127115252755,0.00582810149528575,"Buffered (Special)"
"1500011B03Rik",-0.648040704875943,0.183432161448843,0.951728775527312,0.018794449669516,-2.02300268818731,0.00241466336924359,"Buffered (Special)"
"1600002K03Rik",-0.00193119881778614,0.997885592962148,2.5528151861268,6.14639399339111e-08,-2.34208820042166,0.000801269269361272,"Buffered (Special)"
"1600012H06Rik",-0.0483945689409796,0.880374850023807,-0.11400272431374,0.778925941230376,-0.120854407283166,0.875516434836193,"No change"
"1600014C10Rik",-0.121031469285065,0.781400573645706,-0.985441666190308,0.00326737537160895,0.593006369840388,0.248978242771176,"No change"
"1700010I14Rik",-0.346914469757478,0.385134712544741,0.140066826646926,0.756091959446321,-0.813007730691548,0.146205389380151,"No change"
"1700017B05Rik",0.666853796168931,0.15533541177637,0.826764012386954,0.0146683750990907,0.0984855119601929,0.876791867074651,"No change"
"1700020L24Rik",-0.247596262786167,0.53427758619744,1.43186637821399,0.000515236602084689,-1.90893397893687,0.00292824830427886,"Buffered (Special)"
"1700021F05Rik",-0.705745148759148,0.138786765047542,1.81730401464937,1.50333108058027e-07,-2.77309349346659,1.84529643270098e-08,"Buffered (Special)"
"1700030K09Rik",0.120337245326923,0.730728634358231,0.693732858671103,0.065167086263564,-0.137755906992033,0.849013674799237,"No change"
"1700037H04Rik",0.592502645423707,0.174594792638247,2.20171625936632,6.29048873347597e-08,-0.207347306333662,0.771191311979926,"No change"
"1700066M21Rik",0.0414354898654723,0.922987562022259,-0.253365235266277,0.542964052405404,0.374494988102426,0.555238482838115,"No change"
"1700123O20Rik",-0.226969213757837,0.578197839795494,0.334928677732705,0.396042954393347,-0.749766454146277,0.160660427535838,"No change"
"1810013L24Rik",-0.094852636491926,0.770630941799039,-0.164129077371539,0.681090004482031,-0.314410350884246,0.637845893391058,"No change"
"1810030O07Rik",-0.160119745082823,0.71521609068718,-0.219170481589608,0.545391180301953,-0.0630767685977293,0.927271660809549,"No change"
"1810037I17Rik",-0.0897233882154437,0.846672039748264,3.44598268804076,4.16328693786773e-24,-3.5774615565408,2.31180949829881e-13,"Buffered (Special)"
"1810058I24Rik",-0.507652104935316,0.255981789332053,1.89465788250897,4.47896495430487e-08,-2.98238428081727,1.14861840447865e-07,"Buffered (Special)"
"2210016F16Rik",-0.154551271161484,0.720429624404999,1.17796443551937,0.000326527156052532,-1.44663051323332,0.00434570470610365,"Buffered (Special)"
"2210016L21Rik",-0.198795203238411,0.631012963219315,1.22939990084411,0.00406551766834911,-1.55584965967774,0.00985443229022327,"Buffered (Special)"
"2310009A05Rik",-1.00416735490127,0.0852532815983456,2.46505591359135,1.13280071098777e-08,-3.78075724874201,5.66476780189812e-09,"Buffered (Special)"
"2310022A10Rik",0.293147946990558,0.389906594122317,-0.23295829639581,0.569144807242494,1.21644173999427,0.0503753479726165,"No change"
"2310022B05Rik",0.15769411220798,0.593861114495175,0.0147840721738295,0.976721590704599,0.602496122714204,0.3433271331232,"No change"
"2310033P09Rik",-0.329234084887395,0.391656950754847,2.12437726461482,2.82533089699541e-08,-2.94954321341381,1.55312326224893e-06,"Buffered (Special)"
"2310057M21Rik",-0.143202306805507,0.687596604280714,0.0355532365436371,0.940070419263321,-0.437546114837443,0.479571503387196,"No change"
"2410002F23Rik",0.330062469683401,0.400736753092746,0.644771946216449,0.082556025238581,0.171446789275972,0.79361776094588,"No change"
"2410004B18Rik",-0.000302908896146685,0.998957814238113,1.31943806362141,0.000200545288901052,-1.15359316484886,0.0350840158691636,"Buffered (Special)"
"2510039O18Rik",0.147240751202957,0.747030582039092,0.0922832488419711,0.818917511943422,0.229467506225595,0.687508570449288,"No change"
"2610001J05Rik",-0.0257201836651664,0.945974517771206,1.17616389635997,0.000470424634475236,-1.04713035006558,0.0843961342899697,"No change"
"2610002M06Rik",-0.193501029793426,0.607347142606085,-0.159880958174895,0.678606947543265,-0.362573344965038,0.531697764240054,"No change"
"2610008E11Rik",0.136710121358958,0.628909483184513,0.0505829562313405,0.912130103159213,0.66791156665831,0.288141007346623,"No change"
"2610021A01Rik",0.0205462320570499,0.959543085917442,-0.901328779537872,0.0316440255132745,0.768481785677724,0.239100254958926,"No change"
"2610507B11Rik",0.221861737399952,0.601336017747809,-0.405588289507441,0.235668493539702,0.74749223563826,0.106635635997147,"No change"
"2700049A03Rik",0.0950216528829274,0.839555354812418,-0.877011512973994,0.0149700777322819,1.06494298063858,0.0311505295048803,"Buffered (Special)"
"2700097O09Rik",-0.0762569104605064,0.816560993192111,0.181339755894935,0.690643056825871,-0.490963123287503,0.450615574216814,"No change"
"2810004N23Rik",-0.0386504125853561,0.944101028584015,1.62066273827828,8.34541584174152e-07,-1.5807480312611,0.000660641475799241,"Buffered (Special)"
"2810006K23Rik",-0.467826312182487,0.295076862181689,0.217154588108927,0.650039212021684,-0.887976217063118,0.141589115905006,"No change"
"3110009E18Rik",-0.0319632432938861,0.931546101349494,2.60247537897804,1.10232023070066e-09,-2.58489471528706,0.000673457825966089,"Buffered (Special)"
"3110040N11Rik",0.569187589121552,0.22962786679337,2.33649378677348,5.74919012441188e-11,-1.13998917150385,0.0306975033465257,"Buffered (Special)"
"3110082I17Rik",-0.216020485721108,0.598109765090632,0.928501225218999,0.0136368695194412,-1.32156121570243,0.0164496898464586,"Buffered (Special)"
"3830406C13Rik",-0.0341135045749539,0.9234337409119,-0.301287758080142,0.42407638429465,0.0118816763800282,0.983362858809935,"No change"
"4833420G17Rik",0.196199374446403,0.626793853799825,0.815176332605427,0.0401674948372163,-0.22175491716267,0.736846642369947,"No change"
"4833439L19Rik",1.19400831678973,0.0997934818637121,-1.51234008976499,3.13312331078331e-05,3.33320889296806,2.85107489595394e-07,"Buffered (Special)"
