"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Fgr",161.868800578401,0.0560127542913392,0.584749738021302,0.0957892764191349,0.923687934372044,0.964242933508176
"Fh1",484.037553431001,0.0504820668088068,0.552315686380957,0.0914007478939989,0.927174167504953,0.965933932396628
"Fhad1",2.3121939668035,-0.417371678772273,2.67373808287965,-0.156100435358559,0.87595385520386,NA
"Fhdc1",3.080527733827,-0.132983026578781,2.78259520318273,-0.04779100690847,0.961882803815639,NA
"Fhit",8.40525579271117,-3.92788897951927,1.9207807871875,-2.04494391328782,0.0408603879093625,NA
"Fhl1",0.257756757493999,2.97925662028385,6.92687429421025,0.430101152950622,0.66712206138354,NA
"Fhl2",0.42843741546093,-0.539247969559867,5.56658442662652,-0.0968723238940732,0.92282778774614,NA
"Fhl3",10.2501690674024,1.95799519029761,2.06602087882044,0.947713167069008,0.343275495947615,0.553871647265438
"Fhl4",1.84830815872691,-1.07227084393201,2.98279234437475,-0.35948558268034,0.719231861352682,NA
"Fhl5",0,NA,NA,NA,NA,NA
"Fhod1",95.4433656934957,-2.21148145764749,0.709054783244539,-3.11891480024724,0.00181518441174338,0.0118999278898613
"Fhod3",0.160075564314056,1.81517903332752,6.93360800269807,0.261794297084747,0.793480036042914,NA
"Fibcd1",0,NA,NA,NA,NA,NA
"Fibin",0.130548248621256,3.65478964138744,6.94192812729053,0.526480478387483,0.598554412153549,NA
"Fibp",142.599767209421,-0.595866565938686,0.622109785785809,-0.957815773924896,0.338155663660701,0.548276979258193
"Ficd",18.0206166554716,1.41230531175035,1.08703887045712,1.29922245665092,0.193867596894134,0.382748963848956
"Fig4",309.271785645625,2.75958628450925,0.638615834093654,4.3211992831743,1.55183438125113e-05,0.000227381316888164
"Figla",0,NA,NA,NA,NA,NA
"Fign",0.399946625428741,-1.5987180924075,6.45821864567323,-0.247547842543018,0.804484270329806,NA
"Fignl1",654.00022214016,0.777249591588663,0.475304413645625,1.63526693477785,0.101993101883448,0.248425537763
"Fignl2",0.741395649976932,-1.40985388932108,4.56807518415217,-0.308631936315808,0.757601524403548,NA
"Filip1",8.47993832806101,-2.6926859544869,2.02585260735256,-1.3291618278221,0.183794585745031,NA
"Filip1l",98.4765239537904,0.40450835543643,0.550115704709886,0.735315047313102,0.462147646161771,0.661423499154025
"Fip1l1",791.44064748028,0.421609581561858,0.385041497463774,1.09497180002403,0.27352899113429,0.478353667309733
"Fis1",901.147468745045,-3.28781956563883,0.504472556334374,-6.51734078366713,7.15647163414981e-11,4.60071670180406e-09
"Fitm1",4.12101695307697,-0.210230893107068,2.53647002394944,-0.0828832555173374,0.933944368386497,NA
"Fitm2",27.8141169202906,-1.04930671276471,1.10261080485424,-0.951656475834568,0.341271229538942,0.551849688262468
"Fiz1",69.6855484234975,1.45500952541932,0.749122982240745,1.94228392388544,0.052102738094185,0.154850788041573
"Fjx1",0.207479305823589,-1.31096552069727,6.8851525542431,-0.190404716579498,0.848992001987237,NA
"Fkbp10",0.187601332094668,1.02876946503496,6.88104135753209,0.149507815980331,0.881152942423817,NA
"Fkbp11",119.902025568882,-3.01147318475642,0.732287671924028,-4.11241824793255,3.91536138420582e-05,0.00049597792115691
"Fkbp14",0.0602684333603428,-0.459981126477381,7.05682881623145,-0.065182412448404,0.948028764179131,NA
"Fkbp15",450.8467434519,0.0735623135124316,0.373895234499088,0.196745790598224,0.844026474648731,0.924206438626973
"Fkbp1a",571.648274793056,-1.41983023304466,0.459938228829807,-3.08700200167541,0.00202186235221006,0.0129575552366559
"Fkbp1b",6.11204163466586,-0.487912917959556,2.14660650336694,-0.227294996635046,0.820194363410905,NA
"Fkbp2",591.287196523307,-3.58685019472516,0.605902530378413,-5.91984686461865,3.22241523482939e-09,1.32583052421821e-07
"Fkbp3",598.326701539097,-0.39245505806047,0.654543551126859,-0.599585860077334,0.548782273008827,0.732897229313008
"Fkbp4",1263.72164814926,-0.792274390789633,0.503625839083699,-1.57314087027604,0.115686203196978,0.269523960607954
"Fkbp5",517.214930561099,0.777468620752173,0.433429607491651,1.79375983392447,0.0728515104811649,0.19657676726371
"Fkbp6",5.75700692533797,-2.64268402392498,1.98008788007231,-1.33462966493612,0.181997583959664,NA
"Fkbp7",24.8677158366179,-2.90230616711893,1.22087762103712,-2.37722939392849,0.0174432365302837,0.0689773221553654
"Fkbp8",649.227522421446,-0.952270775085227,0.49763096552746,-1.91360835850694,0.0556702162529083,0.162862299310983
"Fkbp9",3.18146298433985,-2.39162820689838,3.19390041725007,-0.748811138250064,0.453971045447964,NA
"Fkbpl",32.1869656363775,-0.854417920452142,0.921767907401888,-0.926933899077068,0.353960855285658,0.565202616866196
"Fkrp",51.1259271038952,1.12877989295325,0.702227147699204,1.60742844626788,0.107960414115888,0.257711956276636
"Fktn",27.4591815718805,0.5596040493585,1.0634789462739,0.526201342602202,0.59874832127768,0.770462387821286
"Flacc1",1.71858612054451,0.167842042026143,3.02425994639696,0.0554985500588687,0.955741285057084,NA
"Flad1",87.7275781852892,0.933153465620394,0.678146752218661,1.37603470423981,0.168810889147508,0.350998343596375
"Flcn",160.129058511006,-0.231816241260936,0.541318720260546,-0.428243533032367,0.66847382501636,0.816996803551272
"Flg2",0.0520065273457101,-2.02789325269596,7.05408038384537,-0.287478047080391,0.773746308741724,NA
"Fli1",518.169681078329,-0.330475979092325,0.383732611250234,-0.861214213760998,0.389120073068788,0.59576223271847
"Flii",548.551392915518,1.90529342539646,0.445493629393006,4.27681407698796,1.89587011458746e-05,0.000268978206877884
"Flna",4460.29606111498,1.63395695886285,0.440397147509225,3.71018969605979,0.000207104005352556,0.0020307643460976
"Flnb",608.466501986367,2.17211542095321,0.667947574283326,3.25192500816217,0.0011462626071627,0.00823931319166702
"Flnc",3.18413037084319,1.23119569719025,3.30638467589072,0.372369163868863,0.709618009491416,NA
"Flot1",396.882500551006,-0.333908445339061,0.506051945000655,-0.659830376382861,0.509362687593473,0.701004094806859
"Flot2",521.956736017725,0.980235434803368,0.404017351354136,2.4262211301518,0.0152569708422121,0.0623668203371386
"Flrt1",0.216288015397473,-2.58775521258798,6.94928689349,-0.372377087354409,0.70961211092714,NA
"Flrt2",0.331653936128874,-0.881882411179102,6.11643347648172,-0.14418245772966,0.885356392902442,NA
"Flrt3",0.50025460813187,-2.06885639071991,5.24992581917636,-0.394073452078698,0.693526810584249,NA
"Flt1",14.647915060599,0.776259718886418,1.13713471546364,0.682645343889543,0.494830974245526,0.689585611853338
"Flt3",206.245573340004,-1.32699109839067,0.529366310483755,-2.50675396622428,0.0121845490567366,0.0525934836750284
"Flt3l",8.0748185964249,-1.00626056665581,2.41224760750104,-0.417146466858037,0.676571278814619,NA
"Flt4",2.60436070573767,1.68044874002234,2.70013981470421,0.622356194620397,0.533707677924599,NA
"Flvcr1",49.9169751233606,-1.97944273772794,0.994819458693235,-1.98975072354142,0.0466184020595608,0.142670896633336
"Flvcr2",0.671054504571823,1.48541654243232,4.80427448654916,0.309186443570436,0.757179705500664,NA
"Flywch1",42.9297054309596,-0.49857964860342,0.828797624173771,-0.601569833287655,0.547460514341664,0.731757988250386
"Flywch2",2.85764638535042,0.449616923719646,2.92220231068404,0.153862353087524,0.877718268451572,NA
"Fmc1",205.251724286526,-2.84402435836735,0.707509305249934,-4.01976954545167,5.82550975253962e-05,0.000698658331868007
"Fmn1",5.04337570764498,-1.67856571242345,2.06219450013995,-0.81397060864508,0.415661788711457,NA
"Fmn2",0.147210872463246,-1.8081612425765,6.96313186866044,-0.259676432485022,0.795113373309759,NA
"Fmnl1",1187.31808210098,0.865336478673231,0.376500423675934,2.29836787492716,0.0215408603111268,0.0810421686760244
"Fmnl2",76.5026470217036,-1.16887371500077,0.658895759238596,-1.77398882692992,0.0760649984641657,0.203043623956138
"Fmnl3",241.651599327516,2.47603334895391,0.469198580821009,5.27715438657406,1.31205343110117e-07,3.58930361497516e-06
"Fmo1",0.20108013590842,2.28057722363723,6.92574096074947,0.329289997498035,0.741936503778401,NA
"Fmo2",0.26467717936922,4.67035401546979,6.93006086278685,0.673926839596566,0.500357827508404,NA
"Fmo3",0,NA,NA,NA,NA,NA
"Fmo4",0.0520065273457101,-2.02789325269596,7.05408038384537,-0.287478047080391,0.773746308741724,NA
"Fmo5",196.303969053222,1.73560202151389,0.540119065241886,3.21336929800215,0.00131187491188789,0.0091986790978824
"Fmo6",0,NA,NA,NA,NA,NA
