pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
RA_Translation%R-MMU-72766,0.001251564,0.031309087,-0.787365344,-2.624199116,0,187,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;MRPS25;RPS28;MRPL52;MRPL51;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;MRPS21;RPS14;MRPL23;RPL31;MRPS28;SRP9;MRPS12;GADD45GIP1;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;MRPL24;MRPS33;MRPS18C;SRP14;RPS25;MRPS14;RPS5;RPL11;RPL32;MRPL34;RPS13;MRPL12;RPL24;RPS4X;EIF3K;RPS8;MRPL13;RPS6;CHCHD1;MRPL54;EIF1AX;MRPS24;EEF1D;RPL14;RPL19;AURKAIP1;RPS19;MRPL14;MRPL47;MRPS15;MRPS26;RPL7;RPL18A;RPL6;MRPL57;RPL9;RPL13;MRPL2;MRPL20;EIF4B;RPLP0;EIF4A2;MRPL21;RPL23A;RPS18;EIF2S3X;EEF1G;MRPL55;MRPL41;TRMT112;RPS3;PABPC1;RPS11;MRPL11;MRPL48;MRPL22;RPL5;MRPS16;MRPL18;MRPS18A;EIF2S2;MRPS23;MRPL58;RPL15;EIF3I;MRPL42;MRPL30;MRPL28
"RA_Respiratory_electron_transport,_ATP_synthesis_by_chemiosmotic_coupling,_and_heat_production_by_uncoupling_proteins.%R-MMU-163200",0.001414427,0.031309087,-0.812846278,-2.414710691,0,74,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8
RA_Ribosomal_scanning_and_start_codon_recognition%R-MMU-72702,0.001470588,0.031309087,-0.82298934,-2.300669707,0,49,RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;EIF4B;EIF4A2;RPS18;EIF2S3X;RPS3;RPS11
"RA_Activation_of_the_mRNA_upon_binding_of_the_cap-binding_complex_and_eIFs,_and_subsequent_binding_to_43S%R-MMU-72662",0.001447178,0.031309087,-0.823816548,-2.315957546,0,50,RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;EIF4B;EIF4A2;RPS18;EIF2S3X;RPS3;PABPC1;RPS11
RA_Translation_initiation_complex_formation%R-MMU-72649,0.001470588,0.031309087,-0.825046517,-2.306420552,0,49,RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;EIF4B;EIF4A2;RPS18;EIF2S3X;RPS3;PABPC1;RPS11
RA_Respiratory_electron_transport%R-MMU-611105,0.00140647,0.031309087,-0.825398781,-2.436455818,0,70,NDUFA5;NDUFA1;NDUFA3;UQCRQ;NDUFB3;UQCRH;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA4;NDUFA13;NDUFS5;NDUFB11;COX4I1;ETFB;COX6B1;COX8A;COX20;COX6A1;MT-CO2;COX5A;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;COX16;COX7B;NDUFB5;UQCR10;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8
RA_Nonsense-Mediated_Decay_(NMD)%R-MMU-927802,0.001408451,0.031309087,-0.830799134,-2.524227111,0,87,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RBM8A;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;MAGOH;RPL31;RPL39;UPF3B;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;MAGOHB;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;RPL23A;RPS18;NCBP2;RPS3;PABPC1;RPS11
RA_Nonsense_Mediated_Decay_(NMD)_enhanced_by_the_Exon_Junction_Complex_(EJC)%R-MMU-975957,0.001408451,0.031309087,-0.830799134,-2.524227111,0,87,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RBM8A;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;MAGOH;RPL31;RPL39;UPF3B;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;MAGOHB;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;RPS8;RPS6;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;RPLP0;RPL23A;RPS18;NCBP2;RPS3;PABPC1;RPS11
RA_Complex_I_biogenesis%R-MMU-6799198,0.001494768,0.031309087,-0.837361302,-2.305321593,0,45,NDUFA5;NDUFA1;NDUFA3;NDUFB3;NDUFA2;NDUFB7;NDUFS6;NDUFB8;NDUFB10;NDUFAF2;NDUFA13;NDUFS5;NDUFB11;NDUFB9;NDUFB6;NDUFS4;NDUFA6;NDUFC2;NDUFB2;NDUFB5;NDUFC1;NDUFS7;NDUFAF3;NDUFA7;NDUFA12;NDUFA8
"RA_Formation_of_the_ternary_complex,_and_subsequently,_the_43S_complex%R-MMU-72695",0.001501502,0.031309087,-0.841024322,-2.293114802,0,42,RPS21;RPS12;RPS27L;RPS15A;RPS20;RPS24;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPS9;RPS14;RPSA;RPS25;RPS5;RPS13;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPS19;RPS18;EIF2S3X;RPS3;RPS11
RA_Eukaryotic_Translation_Initiation%R-MMU-72613,0.001396648,0.031309087,-0.841508187,-2.577656065,0,91,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X;RPS3;PABPC1;RPS11
RA_Cap-dependent_Translation_Initiation%R-MMU-72737,0.001396648,0.031309087,-0.841508187,-2.577656065,0,91,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X;RPS3;PABPC1;RPS11
RA_L13a-mediated_translational_silencing_of_Ceruloplasmin_expression%R-MMU-156827,0.001371742,0.031309087,-0.851359613,-2.579885036,0,83,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X;RPS3;PABPC1;RPS11
RA_GTP_hydrolysis_and_joining_of_the_60S_ribosomal_subunit%R-MMU-72706,0.001375516,0.031309087,-0.851943014,-2.584118195,0,84,RPS21;RPL38;RPS12;RPL22;RPLP1;RPL35A;RPLP2;RPL23;RPS27L;RPS15A;RPS20;RPS24;RPL34;RPL30;RPS15;RPS29;RPS23;RPS28;RPS16;RPS17;RPS10;RPL36A;RPL27A;RPS9;RPL37A;RPL28;RPS14;RPL31;RPL39;RPL18;RPL26;RPL27;RPSA;RPL8;RPS25;RPS5;RPL11;RPL32;RPS13;RPL24;RPS4X;EIF3K;RPS8;RPS6;EIF1AX;RPL14;RPL19;RPS19;RPL7;RPL18A;RPL6;RPL9;RPL13;EIF4B;RPLP0;EIF4A2;RPL23A;RPS18;EIF2S3X
