,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Aadacl4,0,NA,NA,NA,NA,NA
Aadat,0,NA,NA,NA,NA,NA
Aagab,383.9694152,0.347929844,0.319292351,1.089690506,0.2758495,0.846676756
Aak1,26.64330937,2.083348684,0.975961551,2.134662663,0.032788575,NA
Aamdc,40.66591822,-1.131429175,0.716456938,-1.579200528,0.114290069,NA
Aamp,686.0064282,-0.06255232,0.367109033,-0.170391667,0.864702125,0.983183142
Aanat,0,NA,NA,NA,NA,NA
Aar2,69.51423278,0.145878237,0.734145287,0.19870486,0.842493622,NA
Aard,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
Aars,611.614999,-0.054478651,0.306744087,-0.177602937,0.859034818,0.983183142
Aars2,48.73639644,-0.956085418,0.622057225,-1.536973416,0.12429982,NA
Aarsd1,0.852987429,0.190135707,4.02999057,0.047180187,0.962369619,NA
Aasdh,47.76860525,0.598342693,0.72874375,0.82106048,0.411611819,NA
Aasdhppt,226.897478,0.075526994,0.410041034,0.184193746,0.853861466,NA
Aass,0.081039538,-3.156254466,7.01292182,-0.450062691,0.652665238,NA
Aatf,462.4682134,-0.277071991,0.353689157,-0.783377113,0.433405692,0.887485625
Aatk,145.8419957,-0.10573515,0.502172957,-0.210555244,0.833234339,NA
Abat,2.271401324,-1.177762841,2.952641475,-0.398884474,0.68997833,NA
Abca1,39.0868693,0.034964754,0.724971288,0.048229156,0.961533614,NA
Abca12,0.080136583,0.297730466,6.964002871,0.042752778,0.965898608,NA
Abca13,1857.2632,0.108227107,0.338149656,0.32005683,0.74892525,0.975328057
Abca14,0.540819983,4.293911521,5.436402833,0.789844251,0.429618733,NA
Abca15,0,NA,NA,NA,NA,NA
Abca16,0,NA,NA,NA,NA,NA
Abca17,0.162459836,-2.36362067,6.976001971,-0.338821675,0.734744072,NA
Abca2,432.8789504,0.401699379,0.488609779,0.822127178,0.411004519,0.883212899
Abca3,203.9598258,0.101337462,0.374082113,0.270896304,0.786470788,NA
Abca4,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
Abca5,2.986455067,1.03067931,2.429942016,0.424157985,0.6714506,NA
Abca6,6.695471259,0.443768446,2.053550349,0.216098157,0.828911236,NA
Abca7,661.213668,0.246231032,0.39093835,0.629846195,0.528795218,0.919810556
Abca8a,0.217106278,2.136058911,6.909991893,0.30912611,0.757225599,NA
Abca8b,2.754188119,2.603556968,2.485507361,1.047495175,0.294871256,NA
Abca9,135.7489893,-0.212576499,0.619163562,-0.343328503,0.73135134,NA
Abcb10,155.8169123,-0.180680871,0.426683973,-0.423453615,0.671964335,NA
Abcb11,0,NA,NA,NA,NA,NA
Abcb1a,0.457037379,-2.283272276,5.827473588,-0.39181169,0.695197357,NA
Abcb1b,69.50081163,0.33475643,0.824404023,0.406058705,0.684699467,NA
Abcb4,1.947055069,-1.265305758,3.042614627,-0.415861328,0.677511479,NA
Abcb5,0.027393939,0.580962775,7.063299519,0.082250905,0.934447194,NA
Abcb6,29.74802122,1.680455545,1.367731288,1.228644515,0.219205118,NA
Abcb7,377.2717345,-0.529752595,0.355758041,-1.489081157,0.136465999,0.745270712
Abcb8,85.00846202,-0.406992636,0.580775222,-0.700774794,0.483443571,NA
Abcb9,59.54524679,-0.901800216,0.799690355,-1.127686749,0.259452236,NA
Abcc1,489.498011,0.39258975,0.388843906,1.009633285,0.312671016,0.855498971
Abcc10,33.34877032,-0.851434336,0.716214992,-1.188797142,0.234519503,NA
Abcc12,0,NA,NA,NA,NA,NA
Abcc2,172.1243251,-0.183854233,0.484271412,-0.37965122,0.704204334,NA
Abcc3,29.93532504,-0.561684465,0.766433168,-0.732855113,0.463646803,NA
Abcc4,387.1280039,0.308736266,0.473978318,0.651372128,0.514806298,0.916891184
Abcc5,414.0155013,0.281849346,0.45248115,0.622897431,0.533351926,0.919810556
Abcc6,0.054787878,1.589517048,6.991133444,0.227361852,0.820142381,NA
Abcc8,64.09077441,0.237517496,0.68761659,0.345421416,0.729777579,NA
Abcc9,4.756971037,-0.416499226,2.091204496,-0.199167143,0.842132,NA
Abcd1,548.9370247,0.189620276,0.309708331,0.612254359,0.540369482,0.919810556
Abcd2,606.4709601,-0.289961466,0.396558022,-0.731195561,0.464659711,0.898543729
Abcd3,359.5750442,0.251529217,0.400279302,0.62838427,0.529752239,0.919810556
Abcd4,52.68482197,-0.254258264,0.63609443,-0.399717796,0.689364383,NA
Abce1,1373.650092,0.503471805,0.384530034,1.309317246,0.19042691,0.795876366
Abcf1,622.5922414,-0.734192601,0.343219021,-2.139137275,0.032424552,0.562495495
Abcf2,664.8872156,0.124638866,0.279810108,0.445440899,0.656001161,0.949800877
Abcf3,272.1595349,-0.285872086,0.346865244,-0.824158924,0.409849263,0.883212899
Abcg1,145.0139425,-0.241482596,0.409606988,-0.58954706,0.555494353,NA
Abcg2,44.45511663,-0.037322866,1.601708542,-0.023301908,0.98140945,NA
Abcg3,46.75299859,-0.970122877,0.657115074,-1.476336361,0.139853617,NA
Abcg4,0.052742644,-0.715907832,7.0366643,-0.10173966,0.918963321,NA
Abcg5,0.104582333,2.527178278,6.95647896,0.363284111,0.716392661,NA
Abcg8,11.37031637,-0.500776571,1.946661268,-0.257248952,0.796986597,NA
Abhd10,173.8212757,-0.515189042,0.410240819,-1.255821016,0.20918087,NA
Abhd11,286.7513357,-0.637041883,0.371711663,-1.713806549,0.08656426,0.695658094
Abhd12,143.4829157,-0.269227724,0.449895724,-0.5984225,0.549558056,NA
Abhd12b,0.164363634,3.176905944,6.94270412,0.457589131,0.647247654,NA
Abhd13,125.120505,1.249463982,0.64706995,1.930956587,0.053488421,NA
Abhd14a,52.21228301,-0.840363536,0.636248976,-1.320809255,0.186564973,NA
Abhd14b,37.59175565,-0.021347268,0.956239477,-0.022324186,0.982189356,NA
Abhd15,27.87436537,2.453248587,1.638957642,1.496834649,0.134436288,NA
Abhd16a,237.0170702,-0.189072018,0.404597632,-0.46730876,0.64027899,NA
Abhd16b,0,NA,NA,NA,NA,NA
Abhd17a,161.5609091,-1.761933693,1.106186606,-1.592799699,0.111205133,NA
Abhd17b,300.9859175,0.107238729,0.436482638,0.245688419,0.805923438,0.979879354
Abhd17c,166.0301305,-0.194497323,1.030288526,-0.188779471,0.850265663,NA
Abhd18,31.73880383,-0.367757979,1.018824203,-0.360963136,0.718127005,NA
Abhd2,270.1039562,-0.338570016,0.341501668,-0.991415411,0.321482778,0.855498971
Abhd3,1.185336459,-2.685618119,3.566150952,-0.753085934,0.451398277,NA
Abhd4,56.13559203,0.273239581,0.684551079,0.399151487,0.689781587,NA
Abhd5,378.1472347,0.060880423,0.319316899,0.190658319,0.848793296,0.982415098
Abhd6,10.7216138,-0.215138955,1.81464718,-0.118556906,0.905626408,NA
Abhd8,31.5495918,0.684498367,0.902957855,0.758062365,0.448413649,NA
Abi1,658.8129173,0.211872061,0.315031657,0.672542128,0.50123863,0.91300022
Abi2,104.2981165,0.673730098,0.464652153,1.449966591,0.147067836,NA
Abi3,25.03804812,0.340655904,0.852163459,0.399754179,0.689337583,NA
Abi3bp,0,NA,NA,NA,NA,NA
Abitram,141.5728927,-0.222288774,0.508171371,-0.437428762,0.661800429,NA
Abl1,126.8185143,0.03662358,0.422116579,0.086761767,0.930860878,NA
Abl2,36.00427049,0.830803044,0.831926489,0.998649586,0.31796447,NA
Ablim1,1.763232182,1.981155769,2.923043944,0.677771463,0.497916608,NA
Ablim2,0.171935518,0.005862661,6.915098675,0.000847806,0.999323549,NA
Ablim3,0,NA,NA,NA,NA,NA
Abo,0,NA,NA,NA,NA,NA
Abr,476.825113,0.866484058,0.389613862,2.223955924,0.02615141,0.53662693
Abra,0.725656085,-0.949360971,4.509192971,-0.210538998,0.833247018,NA
Abracl,636.3018524,-1.253505148,0.438721951,-2.857174451,0.004274308,0.341089815
Abraxas1,111.326886,0.30414965,0.50528616,0.601935446,0.547217109,NA
Abraxas2,408.0458205,0.00021095,0.333523429,0.00063249,0.999495346,0.999922622
